soc,ocv_V
0.015,2.95805
0.02,3.00676
0.025,3.05109
0.03,3.09106
0.035,3.12666
0.04,3.15789
0.045,3.18214
0.05,3.20342
0.055,3.22208
0.06,3.23862
0.065,3.25359
0.07,3.26756
0.075,3.28098
0.08,3.29423
0.085,3.30752
0.09,3.3208
0.095,3.33381
0.1,3.34633
0.105,3.35816
0.11,3.36922
0.115,3.37944
0.12,3.38884
0.125,3.39753
0.13,3.40571
0.135,3.41359
0.14,3.42117
0.145,3.42829
0.15,3.43533
0.155,3.4425
0.16,3.44977
0.165,3.45701
0.17,3.46409
0.175,3.47094
0.18,3.47746
0.185,3.48356
0.19,3.48908
0.195,3.494
0.2,3.49875
0.205,3.50341
0.21,3.50795
0.215,3.51239
0.22,3.51676
0.225,3.52109
0.23,3.52552
0.235,3.53016
0.24,3.53511
0.245,3.54038
0.25,3.54597
0.255,3.55191
0.26,3.55811
0.265,3.56438
0.27,3.57052
0.275,3.57632
0.28,3.58175
0.285,3.58673
0.29,3.59133
0.295,3.59557
0.3,3.59961
0.305,3.60358
0.31,3.60751
0.315,3.61138
0.32,3.61517
0.325,3.61882
0.33,3.62234
0.335,3.62569
0.34,3.62892
0.345,3.63205
0.35,3.63512
0.355,3.63815
0.36,3.64116
0.365,3.64416
0.37,3.64718
0.375,3.65024
0.38,3.65333
0.385,3.65648
0.39,3.65968
0.395,3.66295
0.4,3.66628
0.405,3.66968
0.41,3.67316
0.415,3.67671
0.42,3.68035
0.425,3.6841
0.43,3.68794
0.435,3.69187
0.44,3.69591
0.445,3.70005
0.45,3.70428
0.455,3.70861
0.46,3.71301
0.465,3.71749
0.47,3.72205
0.475,3.72669
0.48,3.73138
0.485,3.73614
0.49,3.74095
0.495,3.7458
0.5,3.75069
0.505,3.7556
0.51,3.76052
0.515,3.76546
0.52,3.77043
0.525,3.77542
0.53,3.78045
0.535,3.78553
0.54,3.79069
0.545,3.79598
0.55,3.80155
0.555,3.80748
0.56,3.8138
0.565,3.82047
0.57,3.82735
0.575,3.83428
0.58,3.84108
0.585,3.8476
0.59,3.85373
0.595,3.85947
0.6,3.86486
0.605,3.86996
0.61,3.87486
0.615,3.87955
0.62,3.88407
0.625,3.88843
0.63,3.89269
0.635,3.89686
0.64,3.90099
0.645,3.90508
0.65,3.90915
0.655,3.91322
0.66,3.91731
0.665,3.92142
0.67,3.92558
0.675,3.92978
0.68,3.93404
0.685,3.93836
0.69,3.94277
0.695,3.94727
0.7,3.95187
0.705,3.95658
0.71,3.96136
0.715,3.96625
0.72,3.9712
0.725,3.97624
0.73,3.98134
0.735,3.98651
0.74,3.99171
0.745,3.99697
0.75,4.00223
0.755,4.00751
0.76,4.01276
0.765,4.01797
0.77,4.02313
0.775,4.02822
0.78,4.03321
0.785,4.03803
0.79,4.04268
0.795,4.04713
0.8,4.05134
0.805,4.05532
0.81,4.05907
0.815,4.0626
0.82,4.06594
0.825,4.0691
0.83,4.07211
0.835,4.07497
0.84,4.07769
0.845,4.08026
0.85,4.08269
0.855,4.08499
0.86,4.08718
0.865,4.08929
0.87,4.09138
0.875,4.0935
0.88,4.09569
0.885,4.09804
0.89,4.10059
0.895,4.10339
0.9,4.10651
0.905,4.10999
0.91,4.11389
0.915,4.11888
0.92,4.1245
0.925,4.13035
0.93,4.13611
0.935,4.14155
0.94,4.14655
0.945,4.15104
0.95,4.15514
0.955,4.15913
0.96,4.16345
0.965,4.16887
0.97,4.175
0.975,4.18273
0.98,4.19024
0.985,4.19833
0.99,4.20701
0.995,4.21626
1.0,4.22608
