soc,ocv_V
0.015,2.86301
0.02,2.90547
0.025,2.94464
0.03,2.98051
0.035,3.01309
0.04,3.04237
0.045,3.0661
0.05,3.08774
0.055,3.10765
0.06,3.12623
0.065,3.14395
0.07,3.16118
0.075,3.17821
0.08,3.19527
0.085,3.21242
0.09,3.22959
0.095,3.24662
0.1,3.26337
0.105,3.27968
0.11,3.2954
0.115,3.31044
0.12,3.32469
0.125,3.33819
0.13,3.35103
0.135,3.36335
0.14,3.37499
0.145,3.38572
0.15,3.39621
0.155,3.40683
0.16,3.41742
0.165,3.42767
0.17,3.43727
0.175,3.44599
0.18,3.45365
0.185,3.46012
0.19,3.46516
0.195,3.46892
0.2,3.47235
0.205,3.47571
0.21,3.47898
0.215,3.48213
0.22,3.48521
0.225,3.48832
0.23,3.49175
0.235,3.49578
0.24,3.50057
0.245,3.50613
0.25,3.51235
0.255,3.51916
0.26,3.52637
0.265,3.53368
0.27,3.54084
0.275,3.54768
0.28,3.55419
0.285,3.56033
0.29,3.56614
0.295,3.57157
0.3,3.57672
0.305,3.58176
0.31,3.58677
0.315,3.59172
0.32,3.59661
0.325,3.60131
0.33,3.60579
0.335,3.60999
0.34,3.61396
0.345,3.61772
0.35,3.62134
0.355,3.62486
0.36,3.62832
0.365,3.63174
0.37,3.63517
0.375,3.63862
0.38,3.6421
0.385,3.64562
0.39,3.64919
0.395,3.65282
0.4,3.65652
0.405,3.6603
0.41,3.66415
0.415,3.66807
0.42,3.67208
0.425,3.6762
0.43,3.68042
0.435,3.68473
0.44,3.68913
0.445,3.69363
0.45,3.69823
0.455,3.7029
0.46,3.70765
0.465,3.71244
0.47,3.71728
0.475,3.72218
0.48,3.72713
0.485,3.7321
0.49,3.7371
0.495,3.74212
0.5,3.74715
0.505,3.75217
0.51,3.75717
0.515,3.76214
0.52,3.76712
0.525,3.7721
0.53,3.77707
0.535,3.78208
0.54,3.78711
0.545,3.79222
0.55,3.79745
0.555,3.80288
0.56,3.80856
0.565,3.81456
0.57,3.82091
0.575,3.82755
0.58,3.83435
0.585,3.84121
0.59,3.84796
0.595,3.85451
0.6,3.86073
0.605,3.8666
0.61,3.87214
0.615,3.87737
0.62,3.88236
0.625,3.88715
0.63,3.89179
0.635,3.89633
0.64,3.90082
0.645,3.90527
0.65,3.9097
0.655,3.91417
0.66,3.91867
0.665,3.92322
0.67,3.92785
0.675,3.93256
0.68,3.93737
0.685,3.94228
0.69,3.94729
0.695,3.95242
0.7,3.95766
0.705,3.96301
0.71,3.96845
0.715,3.97398
0.72,3.97955
0.725,3.98521
0.73,3.99088
0.735,3.99657
0.74,4.00225
0.745,4.00791
0.75,4.0135
0.755,4.01902
0.76,4.02443
0.765,4.02969
0.77,4.0348
0.775,4.03971
0.78,4.04439
0.785,4.04878
0.79,4.05287
0.795,4.0566
0.8,4.05993
0.805,4.06288
0.81,4.06547
0.815,4.06775
0.82,4.06979
0.825,4.07164
0.83,4.07337
0.835,4.07505
0.84,4.07671
0.845,4.07839
0.85,4.08013
0.855,4.08196
0.86,4.08391
0.865,4.08602
0.87,4.08833
0.875,4.09088
0.88,4.09367
0.885,4.09683
0.89,4.10038
0.895,4.1044
0.9,4.10901
0.905,4.11427
0.91,4.12027
0.915,4.12783
0.92,4.13643
0.925,4.14606
0.93,4.15672
0.935,4.16841
