soc,ocv_V
0.0,3.25767
0.005,3.27479
0.01,3.29006
0.015,3.30347
0.02,3.31502
0.025,3.32472
0.03,3.33008
0.035,3.33497
0.04,3.33999
0.045,3.34492
0.05,3.34991
0.055,3.35496
0.06,3.36014
0.065,3.36553
0.07,3.37124
0.075,3.37731
0.08,3.38365
0.085,3.3903
0.09,3.39709
0.095,3.404
0.1,3.4109
0.105,3.41774
0.11,3.42453
0.115,3.43115
0.12,3.43775
0.125,3.44428
0.13,3.45069
0.135,3.45707
0.14,3.46336
0.145,3.46946
0.15,3.47538
0.155,3.48112
0.16,3.48664
0.165,3.49192
0.17,3.49707
0.175,3.50204
0.18,3.50688
0.185,3.51161
0.19,3.51623
0.195,3.52066
0.2,3.52499
0.205,3.52918
0.21,3.53317
0.215,3.53699
0.22,3.54073
0.225,3.54434
0.23,3.54786
0.235,3.55125
0.24,3.55462
0.245,3.55793
0.25,3.56116
0.255,3.56437
0.26,3.56744
0.265,3.57049
0.27,3.57347
0.275,3.57643
0.28,3.57931
0.285,3.5822
0.29,3.58514
0.295,3.58804
0.3,3.5909
0.305,3.59379
0.31,3.59663
0.315,3.5995
0.32,3.60233
0.325,3.60521
0.33,3.60806
0.335,3.61094
0.34,3.61385
0.345,3.61679
0.35,3.61976
0.355,3.62276
0.36,3.6258
0.365,3.62888
0.37,3.632
0.375,3.63514
0.38,3.6383
0.385,3.64153
0.39,3.64476
0.395,3.64811
0.4,3.65149
0.405,3.65495
0.41,3.65848
0.415,3.66213
0.42,3.6658
0.425,3.66954
0.43,3.67338
0.435,3.67736
0.44,3.6814
0.445,3.68566
0.45,3.69015
0.455,3.69483
0.46,3.69976
0.465,3.70485
0.47,3.70995
0.475,3.71506
0.48,3.72006
0.485,3.72492
0.49,3.72964
0.495,3.7343
0.5,3.73894
0.505,3.74353
0.51,3.7482
0.515,3.75294
0.52,3.75778
0.525,3.7627
0.53,3.76777
0.535,3.77295
0.54,3.77831
0.545,3.78368
0.55,3.78909
0.555,3.79442
0.56,3.7997
0.565,3.80489
0.57,3.80992
0.575,3.81486
0.58,3.81975
0.585,3.82454
0.59,3.82927
0.595,3.83388
0.6,3.83849
0.605,3.84301
0.61,3.84754
0.615,3.85197
0.62,3.85638
0.625,3.86077
0.63,3.86511
0.635,3.8695
0.64,3.87382
0.645,3.87822
0.65,3.88268
0.655,3.88718
0.66,3.89174
0.665,3.89635
0.67,3.901
0.675,3.90563
0.68,3.91027
0.685,3.91496
0.69,3.91964
0.695,3.92441
0.7,3.92927
0.705,3.93421
0.71,3.9392
0.715,3.94428
0.72,3.94933
0.725,3.95442
0.73,3.9595
0.735,3.96455
0.74,3.9696
0.745,3.97468
0.75,3.97983
0.755,3.98493
0.76,3.99004
0.765,3.99521
0.77,4.00029
0.775,4.00536
0.78,4.01034
0.785,4.01522
0.79,4.02008
0.795,4.0249
0.8,4.02973
0.805,4.03454
0.81,4.03949
0.815,4.04451
0.82,4.04963
0.825,4.05492
0.83,4.06041
0.835,4.06608
0.84,4.07208
0.845,4.07863
0.85,4.08551
0.855,4.09246
0.86,4.09933
0.865,4.10585
0.87,4.11206
0.875,4.11783
0.88,4.12314
0.885,4.12803
0.89,4.13272
0.895,4.13743
0.9,4.14192
0.905,4.14624
0.91,4.15031
0.915,4.15419
0.92,4.15799
0.925,4.16166
0.93,4.16539
0.935,4.16909
0.94,4.17289
0.945,4.17677
0.95,4.18086
0.955,4.18522
0.96,4.18986
0.965,4.19493
0.97,4.20041
0.975,4.20517
0.98,4.21361
0.985,4.22345
0.99,4.23469
0.995,4.24734
1.0,4.26139
