soc,ocv_V
0.0,3.1852
0.005,3.20679
0.01,3.22622
0.015,3.24348
0.02,3.25858
0.025,3.27152
0.03,3.28031
0.035,3.28799
0.04,3.29504
0.045,3.30152
0.05,3.30771
0.055,3.31356
0.06,3.31928
0.065,3.32492
0.07,3.33079
0.075,3.3369
0.08,3.34343
0.085,3.35037
0.09,3.35754
0.095,3.3649
0.1,3.37222
0.105,3.37945
0.11,3.38651
0.115,3.39334
0.12,3.40011
0.125,3.40672
0.13,3.41316
0.135,3.41944
0.14,3.42547
0.145,3.43119
0.15,3.43663
0.155,3.44195
0.16,3.44716
0.165,3.45235
0.17,3.45757
0.175,3.46272
0.18,3.46784
0.185,3.47296
0.19,3.47801
0.195,3.48291
0.2,3.48772
0.205,3.49235
0.21,3.49679
0.215,3.50105
0.22,3.50524
0.225,3.50917
0.23,3.51302
0.235,3.51677
0.24,3.52041
0.245,3.52402
0.25,3.5275
0.255,3.5309
0.26,3.53415
0.265,3.53737
0.27,3.5405
0.275,3.54353
0.28,3.54649
0.285,3.54945
0.29,3.55237
0.295,3.55523
0.3,3.558
0.305,3.56082
0.31,3.56358
0.315,3.56636
0.32,3.56907
0.325,3.57179
0.33,3.57447
0.335,3.57712
0.34,3.57978
0.345,3.58244
0.35,3.58509
0.355,3.58776
0.36,3.59049
0.365,3.59322
0.37,3.59597
0.375,3.59868
0.38,3.60139
0.385,3.6041
0.39,3.60681
0.395,3.6096
0.4,3.61236
0.405,3.61511
0.41,3.61798
0.415,3.62093
0.42,3.62387
0.425,3.62683
0.43,3.62986
0.435,3.63294
0.44,3.63596
0.445,3.63913
0.45,3.6423
0.455,3.6455
0.46,3.64887
0.465,3.65233
0.47,3.65583
0.475,3.65942
0.48,3.66304
0.485,3.66675
0.49,3.67051
0.495,3.67448
0.5,3.67854
0.505,3.68271
0.51,3.68713
0.515,3.6917
0.52,3.69649
0.525,3.70148
0.53,3.70669
0.535,3.71218
0.54,3.71785
0.545,3.72371
0.55,3.72964
0.555,3.73552
0.56,3.74136
0.565,3.74704
0.57,3.75252
0.575,3.75785
0.58,3.76302
0.585,3.76812
0.59,3.77306
0.595,3.77793
0.6,3.78273
0.605,3.78741
0.61,3.79215
0.615,3.79673
0.62,3.80124
0.625,3.80566
0.63,3.80995
0.635,3.81431
0.64,3.81851
0.645,3.82277
0.65,3.82696
0.655,3.83121
0.66,3.8355
0.665,3.83971
0.67,3.8439
0.675,3.84796
0.68,3.85196
0.685,3.85594
0.69,3.85976
0.695,3.86366
0.7,3.86753
0.705,3.8715
0.71,3.87548
0.715,3.87948
0.72,3.88343
0.725,3.88738
0.73,3.89136
0.735,3.89527
0.74,3.89915
0.745,3.90323
0.75,3.90733
0.755,3.91147
0.76,3.91568
0.765,3.92
0.77,3.92437
0.775,3.92886
0.78,3.93342
0.785,3.93803
0.79,3.94277
0.795,3.94765
0.8,3.95259
0.805,3.95759
0.81,3.9627
0.815,3.96794
0.82,3.97325
0.825,3.97861
0.83,3.984
0.835,3.98944
0.84,3.99493
0.845,4.00042
0.85,4.00591
0.855,4.01132
0.86,4.01667
0.865,4.02194
0.87,4.02721
0.875,4.03241
0.88,4.03754
0.885,4.04254
0.89,4.04745
0.895,4.05216
0.9,4.05665
0.905,4.06097
0.91,4.06504
0.915,4.06892
0.92,4.07273
0.925,4.0764
0.93,4.08012
0.935,4.08382
0.94,4.08762
0.945,4.0915
0.95,4.09559
0.955,4.09995
0.96,4.10459
0.965,4.10966
0.97,4.11514
0.975,4.1199
0.98,4.12834
0.985,4.13818
0.99,4.14942
0.995,4.16207
1.0,4.17612
