experiment,model,bias_mean,bias_std
cross_A_train_PAN_test_LG,bilstm,0.0686,0.00286
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.07336,0.00219
cross_A_train_PAN_test_LG,gru,0.05996,0.00589
cross_A_train_PAN_test_LG,linear,0.05392,0.0
cross_A_train_PAN_test_LG,lstm,0.06897,0.00374
cross_A_train_PAN_test_LG,mlp,0.07294,0.00378
cross_A_train_PAN_test_LG,patchtst,0.01093,0.00354
cross_A_train_PAN_test_LG,tcn,0.08357,0.00318
cross_A_train_PAN_test_LG,transformer,0.064,0.00295
cross_B_train_LG_test_PAN,bilstm,-0.06029,0.00265
cross_B_train_LG_test_PAN,cnn_bilstm_attn,-0.05388,0.00319
cross_B_train_LG_test_PAN,gru,-0.05521,0.00485
cross_B_train_LG_test_PAN,linear,-0.0388,0.0
cross_B_train_LG_test_PAN,lstm,-0.05846,0.00244
cross_B_train_LG_test_PAN,mlp,-0.04513,0.00177
cross_B_train_LG_test_PAN,patchtst,-0.0283,0.00391
cross_B_train_LG_test_PAN,tcn,-0.05654,0.00353
cross_B_train_LG_test_PAN,transformer,-0.05354,0.00757
