experiment,model,soc_bin,mean_signed_error,mean_abs_error
cross_A_train_PAN_test_LG,bilstm,0.025,,
cross_A_train_PAN_test_LG,bilstm,0.075,,
cross_A_train_PAN_test_LG,bilstm,0.125,-0.0632011815905571,0.06561890244483948
cross_A_train_PAN_test_LG,bilstm,0.175,-0.06883343309164047,0.08349231630563736
cross_A_train_PAN_test_LG,bilstm,0.225,-0.0038467387203127146,0.0495249480009079
cross_A_train_PAN_test_LG,bilstm,0.275,0.042611878365278244,0.06067577004432678
cross_A_train_PAN_test_LG,bilstm,0.325,0.0637810155749321,0.08042271435260773
cross_A_train_PAN_test_LG,bilstm,0.375,0.06770293414592743,0.077473945915699
cross_A_train_PAN_test_LG,bilstm,0.425,0.06514395028352737,0.07280340790748596
cross_A_train_PAN_test_LG,bilstm,0.475,0.0639709085226059,0.07278160750865936
cross_A_train_PAN_test_LG,bilstm,0.525,0.07239192724227905,0.07753118127584457
cross_A_train_PAN_test_LG,bilstm,0.575,0.08458761870861053,0.08877908438444138
cross_A_train_PAN_test_LG,bilstm,0.625,0.10250649601221085,0.10344994068145752
cross_A_train_PAN_test_LG,bilstm,0.675,0.11668072640895844,0.11724291741847992
cross_A_train_PAN_test_LG,bilstm,0.725,0.120475634932518,0.12072575092315674
cross_A_train_PAN_test_LG,bilstm,0.775,0.11613574624061584,0.11632416397333145
cross_A_train_PAN_test_LG,bilstm,0.825,0.11960762739181519,0.11969846487045288
cross_A_train_PAN_test_LG,bilstm,0.875,0.08991234749555588,0.09026294946670532
cross_A_train_PAN_test_LG,bilstm,0.925,0.05063725635409355,0.05361099913716316
cross_A_train_PAN_test_LG,bilstm,0.975,0.02192073129117489,0.030956735834479332
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.025,,
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.075,,
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.125,-0.061606165021657944,0.06390860676765442
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.175,-0.059103548526763916,0.0717778131365776
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.225,0.007777723018079996,0.04547235742211342
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.275,0.04770146310329437,0.06395553052425385
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.325,0.06831351667642593,0.08169090002775192
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.375,0.06693734973669052,0.08016875386238098
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.425,0.06757576018571854,0.0747714415192604
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.475,0.0679110586643219,0.07541465014219284
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.525,0.07518421113491058,0.07944037020206451
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.575,0.08831631392240524,0.09086021780967712
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.625,0.1034083291888237,0.105037160217762
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.675,0.11702482402324677,0.11847430467605591
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.725,0.12207819521427155,0.12321538478136063
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.775,0.12074363231658936,0.12139356136322021
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.825,0.12471157312393188,0.12494973838329315
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.875,0.09814579039812088,0.09899246692657471
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.925,0.05959228053689003,0.06423277407884598
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0.975,0.03152937442064285,0.041072141379117966
cross_A_train_PAN_test_LG,gru,0.025,,
cross_A_train_PAN_test_LG,gru,0.075,,
cross_A_train_PAN_test_LG,gru,0.125,-0.050907913595438004,0.05362524837255478
cross_A_train_PAN_test_LG,gru,0.175,-0.08722498267889023,0.09876144677400589
cross_A_train_PAN_test_LG,gru,0.225,-0.013493387028574944,0.04813728854060173
cross_A_train_PAN_test_LG,gru,0.275,0.03125316649675369,0.05084337666630745
cross_A_train_PAN_test_LG,gru,0.325,0.04942471906542778,0.06692525744438171
cross_A_train_PAN_test_LG,gru,0.375,0.05320953205227852,0.06666514277458191
cross_A_train_PAN_test_LG,gru,0.425,0.05466708168387413,0.06334969401359558
cross_A_train_PAN_test_LG,gru,0.475,0.05639157071709633,0.06399599462747574
cross_A_train_PAN_test_LG,gru,0.525,0.062176890671253204,0.0683489516377449
cross_A_train_PAN_test_LG,gru,0.575,0.07319862395524979,0.07728241384029388
cross_A_train_PAN_test_LG,gru,0.625,0.09023843705654144,0.09245646744966507
cross_A_train_PAN_test_LG,gru,0.675,0.10154375433921814,0.10353197157382965
cross_A_train_PAN_test_LG,gru,0.725,0.1065097525715828,0.1083691269159317
cross_A_train_PAN_test_LG,gru,0.775,0.10445249080657959,0.10612212866544724
cross_A_train_PAN_test_LG,gru,0.825,0.11052914708852768,0.11175733804702759
cross_A_train_PAN_test_LG,gru,0.875,0.08599025011062622,0.08858761191368103
cross_A_train_PAN_test_LG,gru,0.925,0.05203709378838539,0.059145569801330566
cross_A_train_PAN_test_LG,gru,0.975,0.02921495959162712,0.04270309954881668
cross_A_train_PAN_test_LG,linear,0.025,,
cross_A_train_PAN_test_LG,linear,0.075,,
cross_A_train_PAN_test_LG,linear,0.125,-0.06344737866880494,0.0777050854842309
cross_A_train_PAN_test_LG,linear,0.175,-0.019478954832331533,0.0917932082523985
cross_A_train_PAN_test_LG,linear,0.225,0.08993173142499894,0.09754855651196866
cross_A_train_PAN_test_LG,linear,0.275,0.1237325754377755,0.12604573950565418
cross_A_train_PAN_test_LG,linear,0.325,0.12313759833475937,0.1255901682593248
cross_A_train_PAN_test_LG,linear,0.375,0.10830549949159818,0.11203831051219552
cross_A_train_PAN_test_LG,linear,0.425,0.09283862385197734,0.0969952667297718
cross_A_train_PAN_test_LG,linear,0.475,0.0746685348583314,0.08740326712111465
cross_A_train_PAN_test_LG,linear,0.525,0.04904840298934946,0.07562151976203978
