experiment,model,seed,rmse,mae,max_error,mape_pct,r2,n_params,train_time_s,n_train,n_test,device,timestamp
within_LG,linear,0,0.07684910803862995,0.056222654581069946,0.3915292024612427,12.26365662561465,0.8982412068020292,301,1.219,1500,800,cpu,2026-06-08T17:56:17+00:00
within_LG,mlp,0,0.11918688218290663,0.09325220204889774,0.4460826516151428,20.340844459572104,0.7552339361445455,110081,6.989,1500,800,cuda,2026-06-08T17:56:24+00:00
within_LG,lstm,0,0.2691681657632399,0.2358322269609198,0.7059638798236847,37.50634811344456,-0.24836526333652453,38881,0.34,1500,800,cuda,2026-06-08T17:56:24+00:00
within_LG,gru,0,0.31830040731184417,0.2945861033024266,0.695384681224823,52.39874323802082,-0.7456962309982171,29185,0.114,1500,800,cuda,2026-06-08T17:56:24+00:00
within_LG,bilstm,0,0.4539319646058764,0.40907012115232644,0.8006352484226227,63.58682859476924,-2.550387997859418,77761,0.142,1500,800,cuda,2026-06-08T17:56:24+00:00
within_LG,cnn_bilstm_attn,0,0.26367342793700843,0.2246453756839037,0.4933028221130371,42.7003191749143,-0.19791779462913306,42402,0.666,1500,800,cuda,2026-06-08T17:56:25+00:00
within_LG,tcn,0,0.3707122075477382,0.31560692327097056,1.4889387041330338,53.711482066352076,-1.3679256431350049,16001,0.253,1500,800,cuda,2026-06-08T17:56:25+00:00
within_LG,transformer,0,0.178106550858646,0.15642047312110663,0.44951052963733673,38.50183868478969,0.4534195772171934,67265,0.427,1500,800,cuda,2026-06-08T17:56:26+00:00
within_LG,patchtst,0,0.24406936811377414,0.1979784446954727,0.5953952372074127,52.60734587266973,-0.026409916109776166,68481,0.136,1500,800,cuda,2026-06-08T17:56:26+00:00
within_PAN,linear,0,0.10656287636922658,0.0759461045730859,0.5679541081190109,20.100064016383534,0.8545651104226537,301,0.009,1500,800,cpu,2026-06-08T17:56:27+00:00
within_PAN,mlp,0,0.1855684977269563,0.15332604384981097,0.6647230684757233,33.03769402627261,0.5589729369074924,110081,0.067,1500,800,cuda,2026-06-08T17:56:27+00:00
within_PAN,lstm,0,0.29286754783967817,0.257799379453063,0.8066546246409416,39.84540636510208,-0.09849791819342002,38881,0.059,1500,800,cuda,2026-06-08T17:56:27+00:00
within_PAN,gru,0,0.3547808594124168,0.32885876738466324,0.9212824515998363,57.58273830842614,-0.6120447710031627,29185,0.058,1500,800,cuda,2026-06-08T17:56:27+00:00
within_PAN,bilstm,0,0.5022131680004667,0.4528715863451362,0.849489226937294,65.21628365108967,-2.2302261440306324,77761,0.111,1500,800,cuda,2026-06-08T17:56:27+00:00
within_PAN,cnn_bilstm_attn,0,0.31070878653767514,0.26839288108982146,0.6280006393790245,53.627291447732674,-0.23641369288772607,42402,0.082,1500,800,cuda,2026-06-08T17:56:27+00:00
within_PAN,tcn,0,0.42383204832290644,0.36601898953318596,1.4490032196044922,65.5405519807878,-1.3006169889386587,16001,0.094,1500,800,cuda,2026-06-08T17:56:28+00:00
within_PAN,transformer,0,0.17736600203838196,0.1487637705821544,0.45770975947380066,40.70169892122414,0.5970997934589268,67265,0.309,1500,800,cuda,2026-06-08T17:56:28+00:00
within_PAN,patchtst,0,0.16187345245571652,0.13016884738113732,0.41497522592544556,29.79371111114963,0.6644107848821614,68481,0.133,1500,800,cuda,2026-06-08T17:56:28+00:00
cross_A_train_PAN_test_LG,linear,0,0.10773383531577566,0.0841248394921422,0.4966890513896942,19.882108740118756,0.7961022834890997,301,0.011,1500,800,cpu,2026-06-08T17:56:30+00:00
cross_A_train_PAN_test_LG,mlp,0,0.28392806148142247,0.21839512534439565,1.0327726602554321,48.21145072913294,-0.4162005369975257,110081,0.051,1500,800,cuda,2026-06-08T17:56:30+00:00
cross_A_train_PAN_test_LG,lstm,0,0.28758095891953706,0.24813095387537032,0.7578433454036713,41.241725394857674,-0.4528754158857087,38881,0.058,1500,800,cuda,2026-06-08T17:56:30+00:00
cross_A_train_PAN_test_LG,gru,0,0.36194948540370603,0.32815252129454164,0.836101807653904,61.26101194484869,-1.301463264417162,29185,0.059,1500,800,cuda,2026-06-08T17:56:30+00:00
cross_A_train_PAN_test_LG,bilstm,0,0.46253793475769006,0.4167132356809452,0.9261501654982567,67.57610232981871,-2.7583985680710903,77761,0.111,1500,800,cuda,2026-06-08T17:56:30+00:00
cross_A_train_PAN_test_LG,cnn_bilstm_attn,0,0.26188418738062447,0.2215324456989765,0.6200844645500183,46.96525740233055,-0.204832497226904,42402,0.084,1500,800,cuda,2026-06-08T17:56:30+00:00
cross_A_train_PAN_test_LG,tcn,0,0.40914852968393617,0.32230220721103253,2.3160584419965744,63.15353466400552,-1.9408312847961349,16001,0.09,1500,800,cuda,2026-06-08T17:56:30+00:00
cross_A_train_PAN_test_LG,transformer,0,0.24535077137369354,0.21828897908329964,0.5996584743261337,54.55781760075581,-0.05750632981616399,67265,0.305,1500,800,cuda,2026-06-08T17:56:31+00:00
cross_A_train_PAN_test_LG,patchtst,0,0.19813275258794616,0.16414904072880745,0.5261915475130081,34.535379985867024,0.31036282163958917,68481,0.144,1500,800,cuda,2026-06-08T17:56:31+00:00
cross_B_train_LG_test_PAN,linear,0,0.10866280298213318,0.07749672538135201,0.6486817449331284,16.363563478297735,0.8327885195297904,301,0.009,1500,800,cpu,2026-06-08T17:56:32+00:00
cross_B_train_LG_test_PAN,mlp,0,0.19658730248589795,0.16867655174341054,0.4322583079338074,33.0206675246385,0.45271289966848716,110081,0.05,1500,800,cuda,2026-06-08T17:56:32+00:00
cross_B_train_LG_test_PAN,lstm,0,0.29355310395337214,0.2630728632071987,0.8304083198308945,40.54020690869417,-0.22033098562475062,38881,0.056,1500,800,cuda,2026-06-08T17:56:33+00:00
cross_B_train_LG_test_PAN,gru,0,0.3526056870665423,0.3306180385942571,0.9790878817439079,58.442848491347185,-0.7606900509217513,29185,0.055,1500,800,cuda,2026-06-08T17:56:33+00:00
cross_B_train_LG_test_PAN,bilstm,0,0.49668897006036744,0.45141763353254644,0.8117993474006653,65.38101189466258,-2.4936011064114365,77761,0.112,1500,800,cuda,2026-06-08T17:56:33+00:00
cross_B_train_LG_test_PAN,cnn_bilstm_attn,0,0.3132375619510346,0.27804229272063824,0.6886100992560387,54.73471724984894,-0.3894788962797917,42402,0.083,1500,800,cuda,2026-06-08T17:56:33+00:00
cross_B_train_LG_test_PAN,tcn,0,0.4287845163554064,0.385123410965316,0.9425250142812729,65.35949837677623,-1.6036492242245788,16001,0.091,1500,800,cuda,2026-06-08T17:56:33+00:00
cross_B_train_LG_test_PAN,transformer,0,0.12635342540479894,0.1036664762487635,0.2941817343235016,32.30436060407337,0.7739115768016849,67265,0.306,1500,800,cuda,2026-06-08T17:56:33+00:00
cross_B_train_LG_test_PAN,patchtst,0,0.2040831554171301,0.16688220977317542,0.5631773099303246,45.17529646262733,0.41018120725698504,68481,0.132,1500,800,cuda,2026-06-08T17:56:34+00:00
within_LG,linear,1,0.06908986061261206,0.04917990841496433,0.37566086649894714,11.223737337771649,0.9197857187360674,301,0.93,31267,6117,cpu,2026-06-08T17:57:32+00:00
within_LG,linear,2,0.06908986061261206,0.04917990841496433,0.37566086649894714,11.223737337771649,0.9197857187360674,301,0.168,31267,6117,cpu,2026-06-08T17:57:32+00:00
within_LG,linear,3,0.06908986061261206,0.04917990841496433,0.37566086649894714,11.223737337771649,0.9197857187360674,301,0.262,31267,6117,cpu,2026-06-08T17:57:32+00:00
within_LG,linear,4,0.06908986061261206,0.04917990841496433,0.37566086649894714,11.223737337771649,0.9197857187360674,301,0.259,31267,6117,cpu,2026-06-08T17:57:33+00:00
within_LG,mlp,1,0.01756766254401665,0.013040899065988057,0.12053781747817993,2.6623757389065745,0.9948137789386944,110081,10.877,31267,6117,cuda,2026-06-08T17:57:44+00:00
within_LG,mlp,2,0.016412192736785784,0.012499076638109488,0.09662288427352905,2.4918851761982794,0.9954735650816168,110081,9.443,31267,6117,cuda,2026-06-08T17:57:53+00:00
within_LG,mlp,3,0.01733501672981193,0.013495839468419835,0.1027337908744812,2.69330396832787,0.9949502300487255,110081,8.628,31267,6117,cuda,2026-06-08T17:58:02+00:00
within_LG,mlp,4,0.018874112243909235,0.014584002723116218,0.09753096103668213,2.772476952740384,0.9940137323518569,110081,8.154,31267,6117,cuda,2026-06-08T17:58:10+00:00
within_LG,lstm,1,0.01223036477944369,0.009067474334131215,0.059571653604507446,1.8671255378794986,0.9974863669137528,38881,17.727,31267,6117,cuda,2026-06-08T17:58:28+00:00
within_LG,lstm,2,0.011785387026382639,0.008717696792806151,0.07831412553787231,1.8149281439621565,0.9976659467407459,38881,29.265,31267,6117,cuda,2026-06-08T17:58:57+00:00
within_LG,lstm,3,0.011529337827791416,0.008628816818107435,0.05614486336708069,1.7954873153576467,0.9977662642588275,38881,30.612,31267,6117,cuda,2026-06-08T17:59:28+00:00
within_LG,lstm,4,0.011199124567162927,0.00826248473711452,0.058696240186691284,1.7612365363710505,0.9978923853237962,38881,31.662,31267,6117,cuda,2026-06-08T18:00:00+00:00
within_LG,gru,1,0.014664041346461128,0.01096820420585116,0.0849759578704834,2.2217778939774053,0.9963864803855028,29185,14.695,31267,6117,cuda,2026-06-08T18:00:14+00:00
within_LG,gru,2,0.011039502481229231,0.008642740522078756,0.06262487173080444,1.731315647263153,0.9979520371875048,29185,28.085,31267,6117,cuda,2026-06-08T18:00:43+00:00
within_LG,gru,3,0.012513943927496485,0.009448574471945309,0.07312333583831787,1.8685851562720017,0.9973684509290326,29185,21.469,31267,6117,cuda,2026-06-08T18:01:04+00:00
within_LG,gru,4,0.01003612882732675,0.007556313460941542,0.057769715785980225,1.5817753277155404,0.9983073953940427,29185,28.355,31267,6117,cuda,2026-06-08T18:01:33+00:00
within_LG,bilstm,1,0.011714850475755361,0.00841720758387519,0.0741158276796341,1.7153692372774816,0.99769380214932,77761,45.552,31267,6117,cuda,2026-06-08T18:02:18+00:00
within_LG,bilstm,2,0.010382119352573844,0.007598998637415331,0.05020904541015625,1.5458391445966102,0.9981886803527773,77761,58.722,31267,6117,cuda,2026-06-08T18:03:17+00:00
within_LG,bilstm,3,0.012395757434352157,0.00913241928516698,0.06083261966705322,1.925365749788259,0.9974179229247975,77761,37.405,31267,6117,cuda,2026-06-08T18:03:55+00:00
within_LG,bilstm,4,0.013870009864468333,0.009961036957029386,0.0870119035243988,2.0530124472203677,0.9967672166298522,77761,30.352,31267,6117,cuda,2026-06-08T18:04:25+00:00
within_LG,cnn_bilstm_attn,1,0.015467589337405328,0.01167371155332073,0.09203189611434937,2.34853619042487,0.9959796086524193,42402,35.819,31267,6117,cuda,2026-06-08T18:05:01+00:00
within_LG,cnn_bilstm_attn,2,0.018459211238676332,0.01378055616484878,0.10059714317321777,2.806875273229485,0.9942740263797404,42402,19.695,31267,6117,cuda,2026-06-08T18:05:21+00:00
within_LG,cnn_bilstm_attn,3,0.014365263622288536,0.01085451532515198,0.07302209734916687,2.1250286075607936,0.9965322301683073,42402,42.548,31267,6117,cuda,2026-06-08T18:06:03+00:00
within_LG,cnn_bilstm_attn,4,0.01456204373898688,0.010883424228286556,0.08218520879745483,2.2599221014414765,0.996436574152635,42402,42.579,31267,6117,cuda,2026-06-08T18:06:46+00:00
within_LG,tcn,1,0.019212170032209326,0.013741338688582402,0.1177823543548584,2.6453792682895005,0.9937973695528286,16001,43.642,31267,6117,cuda,2026-06-08T18:07:30+00:00
within_LG,tcn,2,0.021278631790294163,0.015499943104545645,0.10371428728103638,2.9543767193121018,0.9923912999707183,16001,28.695,31267,6117,cuda,2026-06-08T18:07:58+00:00
within_LG,tcn,3,0.028430606219182114,0.020970144131730463,0.16116389632225037,4.097495548366472,0.9864170124139104,16001,12.222,31267,6117,cuda,2026-06-08T18:08:11+00:00
within_LG,tcn,4,0.021641411314194642,0.01593981061337215,0.1262182891368866,3.089997714708043,0.9921296468135249,16001,35.588,31267,6117,cuda,2026-06-08T18:08:46+00:00
within_LG,transformer,1,0.011173425696144377,0.008496424743839586,0.05066075921058655,1.7973624951425502,0.9979020470027129,67265,128.81,31267,6117,cuda,2026-06-08T18:10:55+00:00
within_LG,transformer,2,0.013547849013259946,0.01070328173741457,0.057339370250701904,2.1261761822749614,0.9969156492536169,67265,82.018,31267,6117,cuda,2026-06-08T18:12:18+00:00
within_LG,transformer,3,0.01047816884836137,0.0079864499755831,0.05019032955169678,1.5736614195469165,0.9981550107140013,67265,128.822,31267,6117,cuda,2026-06-08T18:14:27+00:00
within_LG,transformer,4,0.010961065704640225,0.008349958935730283,0.050839781761169434,1.6847842435098899,0.9979810357652572,67265,125.912,31267,6117,cuda,2026-06-08T18:16:33+00:00
within_LG,patchtst,1,0.02761140191503533,0.01928174989722768,0.16370706260204315,4.204776483695947,0.9871885000630046,68481,53.248,31267,6117,cuda,2026-06-08T18:17:26+00:00
within_LG,patchtst,2,0.03182998885976901,0.023572305726209886,0.16370472311973572,4.9516594676890495,0.9829746504703459,68481,30.326,31267,6117,cuda,2026-06-08T18:17:56+00:00
within_LG,patchtst,3,0.030145889161398865,0.022319111857945103,0.1510581523180008,4.667155485908327,0.9847285856931418,68481,40.443,31267,6117,cuda,2026-06-08T18:18:37+00:00
within_LG,patchtst,4,0.0296023078486772,0.0217246500123886,0.15765152871608734,4.710516245701588,0.985274359119283,68481,41.696,31267,6117,cuda,2026-06-08T18:19:19+00:00
within_PAN,linear,1,0.09078030630146086,0.06857622015120807,0.5497070550918579,17.30950569392015,0.885432583251816,301,0.219,31768,10582,cpu,2026-06-08T18:19:20+00:00
within_PAN,linear,2,0.09078030630146086,0.06857622015120807,0.5497070550918579,17.30950569392015,0.885432583251816,301,0.144,31768,10582,cpu,2026-06-08T18:19:20+00:00
within_PAN,linear,3,0.09078030630146086,0.06857622015120807,0.5497070550918579,17.30950569392015,0.885432583251816,301,0.241,31768,10582,cpu,2026-06-08T18:19:20+00:00
within_PAN,linear,4,0.09078030630146086,0.06857622015120807,0.5497070550918579,17.30950569392015,0.885432583251816,301,0.274,31768,10582,cpu,2026-06-08T18:19:21+00:00
within_PAN,mlp,1,0.022736970597517534,0.016942878837616766,0.13543668389320374,4.04257968263577,0.9928130763095713,110081,6.854,31768,10582,cuda,2026-06-08T18:19:28+00:00
within_PAN,mlp,2,0.02519483538862425,0.02103368990211986,0.1364695280790329,4.4969049580608145,0.9911752810325906,110081,6.62,31768,10582,cuda,2026-06-08T18:19:34+00:00
within_PAN,mlp,3,0.0236491683649639,0.019216507506396453,0.11530226469039917,4.407448486634505,0.9922248356187893,110081,9.678,31768,10582,cuda,2026-06-08T18:19:44+00:00
within_PAN,mlp,4,0.0226816621433417,0.017674442322932127,0.11307922005653381,4.204793933412114,0.992847998655504,110081,8.3,31768,10582,cuda,2026-06-08T18:19:52+00:00
within_PAN,lstm,1,0.02241167766509458,0.016511816358215935,0.15053951740264893,4.30352240197999,0.9930172487938016,38881,16.358,31768,10582,cuda,2026-06-08T18:20:09+00:00
within_PAN,lstm,2,0.02078663476482885,0.014743738907189208,0.1291348785161972,4.041257527131009,0.9939931580676488,38881,26.764,31768,10582,cuda,2026-06-08T18:20:36+00:00
within_PAN,lstm,3,0.02103822393913461,0.015523192724640733,0.11198829114437103,4.109221637865492,0.993846871562163,38881,15.674,31768,10582,cuda,2026-06-08T18:20:51+00:00
within_PAN,lstm,4,0.02165569630070038,0.016082608405563314,0.1269039660692215,4.0894832825951415,0.9934803821851744,38881,14.21,31768,10582,cuda,2026-06-08T18:21:06+00:00
within_PAN,gru,1,0.018375919898699633,0.013142538266976374,0.10640450567007065,3.662674092985984,0.9953056441094159,29185,23.676,31768,10582,cuda,2026-06-08T18:21:30+00:00
within_PAN,gru,2,0.018349761790146853,0.013867468813772554,0.08752551674842834,3.3604060899378565,0.9953189994213694,29185,15.601,31768,10582,cuda,2026-06-08T18:21:45+00:00
within_PAN,gru,3,0.016178729901077254,0.011774118911553095,0.09349608421325684,3.035515338776258,0.996361128809825,29185,23.891,31768,10582,cuda,2026-06-08T18:22:09+00:00
within_PAN,gru,4,0.01581436061705616,0.011569361586318735,0.09918703138828278,3.113351837161817,0.9965231887921723,29185,29.804,31768,10582,cuda,2026-06-08T18:22:39+00:00
within_PAN,bilstm,1,0.021669302092951544,0.015726051718402148,0.15184760093688965,4.016030257484094,0.9934721873499804,77761,29.478,31768,10582,cuda,2026-06-08T18:23:09+00:00
within_PAN,bilstm,2,0.023901216628452314,0.01786890755117255,0.14153367280960083,4.252115082447374,0.992058220049824,77761,19.602,31768,10582,cuda,2026-06-08T18:23:29+00:00
within_PAN,bilstm,3,0.02058283066841738,0.015339832699784955,0.12324044108390808,3.991381877363478,0.9941103696830266,77761,38.062,31768,10582,cuda,2026-06-08T18:24:07+00:00
within_PAN,bilstm,4,0.017715797452661473,0.013190271484941396,0.12308911979198456,3.3342514482215444,0.9956368590211674,77761,57.88,31768,10582,cuda,2026-06-08T18:25:05+00:00
within_PAN,cnn_bilstm_attn,1,0.01914727870575116,0.014432774418396436,0.10649856925010681,3.442590311832182,0.9949032662019782,42402,44.359,31768,10582,cuda,2026-06-08T18:25:49+00:00
within_PAN,cnn_bilstm_attn,2,0.02127813044028847,0.01475011020584799,0.12967118620872498,4.083302374977838,0.9937057387173494,42402,35.472,31768,10582,cuda,2026-06-08T18:26:25+00:00
within_PAN,cnn_bilstm_attn,3,0.019953579846030245,0.014418529201192637,0.10123702883720398,3.6964659324152773,0.9944649763646795,42402,44.364,31768,10582,cuda,2026-06-08T18:27:09+00:00
within_PAN,cnn_bilstm_attn,4,0.02282251619656419,0.01672702075350636,0.1168401837348938,4.156780495352966,0.9927588943973387,42402,26.649,31768,10582,cuda,2026-06-08T18:27:36+00:00
within_PAN,tcn,1,0.026733744641360368,0.018246999167101614,0.1647741198539734,4.813166292396354,0.9900643239264068,16001,45.248,31768,10582,cuda,2026-06-08T18:28:21+00:00
within_PAN,tcn,2,0.025865364275811487,0.017357663027738,0.16228309273719788,4.249180007599822,0.9906993129459715,16001,45.048,31768,10582,cuda,2026-06-08T18:29:07+00:00
within_PAN,tcn,3,0.030405067172519683,0.02234901527396629,0.18373188376426697,5.660741886946079,0.9871480280889368,16001,25.335,31768,10582,cuda,2026-06-08T18:29:32+00:00
within_PAN,tcn,4,0.028100166788189062,0.01982601827664955,0.13576333224773407,5.011620414693539,0.9890226975903611,16001,45.048,31768,10582,cuda,2026-06-08T18:30:17+00:00
within_PAN,transformer,1,0.01974485623265464,0.016289049039584797,0.09059232473373413,3.6012943054928206,0.9945801684965515,67265,81.785,31768,10582,cuda,2026-06-08T18:31:39+00:00
within_PAN,transformer,2,0.016861267354709653,0.012652424663485528,0.12023796141147614,3.177788409316087,0.9960476239166105,67265,85.051,31768,10582,cuda,2026-06-08T18:33:05+00:00
