experiment,model,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,max_mean,r2_mean,n_params,train_time_mean
cross_A_train_PAN_test_LG,bilstm,5,0.10414,0.0052,0.08263,0.00287,0.35013,0.81221,77761,52.23499
cross_A_train_PAN_test_LG,cnn_bilstm_attn,5,0.10544,0.00288,0.08592,0.00224,0.34857,0.80779,42402,28.73652
cross_A_train_PAN_test_LG,gru,5,0.09627,0.0045,0.07648,0.00359,0.32198,0.83957,29185,25.10434
cross_A_train_PAN_test_LG,linear,5,0.10179,0.0,0.08165,0.0,0.42323,0.82095,301,0.21453
cross_A_train_PAN_test_LG,lstm,5,0.1056,0.00101,0.0843,0.00189,0.35371,0.80727,38881,25.82683
cross_A_train_PAN_test_LG,mlp,5,0.10276,0.0034,0.08242,0.00214,0.37584,0.81738,110081,10.29116
cross_A_train_PAN_test_LG,patchtst,5,0.07338,0.00193,0.05811,0.00135,0.30073,0.9069,68481,56.61127
cross_A_train_PAN_test_LG,tcn,5,0.10939,0.00272,0.08931,0.00288,0.3784,0.7931,16001,58.38039
cross_A_train_PAN_test_LG,transformer,5,0.09817,0.00388,0.08069,0.00426,0.32586,0.83324,67265,92.10474
cross_B_train_LG_test_PAN,bilstm,5,0.09244,0.00212,0.07137,0.00117,0.39099,0.88253,77761,58.95957
cross_B_train_LG_test_PAN,cnn_bilstm_attn,5,0.09818,0.00392,0.08135,0.0042,0.3097,0.86739,42402,47.67674
cross_B_train_LG_test_PAN,gru,5,0.09097,0.00192,0.07357,0.00422,0.33151,0.88625,29185,30.33123
cross_B_train_LG_test_PAN,linear,5,0.0971,0.0,0.07366,0.0,0.85045,0.87046,301,0.20859
cross_B_train_LG_test_PAN,lstm,5,0.09158,0.00162,0.07009,0.00091,0.42086,0.88473,38881,29.92806
cross_B_train_LG_test_PAN,mlp,5,0.09581,0.00282,0.08153,0.00255,0.32636,0.87378,110081,10.69772
cross_B_train_LG_test_PAN,patchtst,5,0.08313,0.00197,0.069,0.00198,0.37872,0.905,68481,72.66885
cross_B_train_LG_test_PAN,tcn,5,0.09626,0.00155,0.0768,0.00349,0.46318,0.87266,16001,48.60444
cross_B_train_LG_test_PAN,transformer,5,0.09097,0.00356,0.07638,0.00306,0.31647,0.88616,67265,101.2935
within_LG,bilstm,5,0.0122,0.00128,0.00887,0.0009,0.07285,0.99748,77761,40.58593
within_LG,cnn_bilstm_attn,5,0.01618,0.00195,0.01211,0.00138,0.08659,0.99555,42402,34.53183
within_LG,gru,5,0.01207,0.00174,0.00919,0.00125,0.07077,0.99751,29185,22.5834
within_LG,linear,5,0.06909,0.0,0.04918,0.0,0.37566,0.91979,301,0.57303
within_LG,lstm,5,0.0115,0.00055,0.00852,0.00043,0.06024,0.99777,38881,27.43089
within_LG,mlp,5,0.0174,0.00094,0.01332,0.00079,0.10433,0.9949,110081,10.54323
within_LG,patchtst,5,0.03023,0.00179,0.02191,0.00161,0.16316,0.9846,68481,38.63112
within_LG,tcn,5,0.02221,0.0036,0.01618,0.00281,0.12357,0.99153,16001,32.60384
within_LG,transformer,5,0.0119,0.00143,0.00911,0.00118,0.05444,0.99759,67265,109.42861
within_PAN,bilstm,5,0.02051,0.00245,0.01504,0.00199,0.13448,0.99408,77761,39.93012
within_PAN,cnn_bilstm_attn,5,0.02102,0.00147,0.01525,0.00103,0.11407,0.99384,42402,37.46427
within_PAN,gru,5,0.01691,0.00134,0.01238,0.00106,0.09578,0.99601,29185,24.31286
within_PAN,linear,5,0.09078,0.0,0.06858,0.0,0.54971,0.88543,301,0.22376
within_PAN,lstm,5,0.02201,0.00135,0.01622,0.00131,0.12806,0.99325,38881,16.95218
within_PAN,mlp,5,0.02406,0.00151,0.01895,0.00165,0.12469,0.99192,110081,7.47136
within_PAN,patchtst,5,0.03358,0.00097,0.02437,0.00157,0.24965,0.98432,68481,36.13506
within_PAN,tcn,5,0.02767,0.00173,0.01934,0.00191,0.16395,0.98932,16001,40.91828
within_PAN,transformer,5,0.01894,0.00169,0.0147,0.00157,0.12043,0.99498,67265,70.8436
