direction,model,method,fraction,mae_mean,gap_share_closed
cross_A_train_PAN_test_LG,bilstm,recal_affine,0.0,0.08309,0.0
cross_A_train_PAN_test_LG,bilstm,recal_affine,0.05,0.05958,0.3168
cross_A_train_PAN_test_LG,bilstm,recal_affine,0.1,0.05345,0.3994
cross_A_train_PAN_test_LG,bilstm,recal_affine,0.2,0.05348,0.3989
cross_A_train_PAN_test_LG,bilstm,recal_affine,0.5,0.053,0.4054
cross_A_train_PAN_test_LG,bilstm,recal_affine,1.0,0.05307,0.4045
cross_A_train_PAN_test_LG,bilstm,recal_bias,0.0,0.08309,0.0
cross_A_train_PAN_test_LG,bilstm,recal_bias,0.05,0.07014,0.1745
cross_A_train_PAN_test_LG,bilstm,recal_bias,0.1,0.06086,0.2995
cross_A_train_PAN_test_LG,bilstm,recal_bias,0.2,0.06098,0.2979
cross_A_train_PAN_test_LG,bilstm,recal_bias,0.5,0.06022,0.3081
cross_A_train_PAN_test_LG,bilstm,recal_bias,1.0,0.06036,0.3063
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,0.0,0.08767,0.0
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,0.05,0.06288,0.3281
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,0.1,0.05417,0.4434
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,0.2,0.05272,0.4625
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,0.5,0.05208,0.471
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,1.0,0.05182,0.4745
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,0.0,0.08767,0.0
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,0.05,0.07418,0.1785
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,0.1,0.06162,0.3448
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,0.2,0.06066,0.3575
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,0.5,0.05969,0.3703
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,1.0,0.05945,0.3735
cross_A_train_PAN_test_LG,gru,finetune,0.0,0.07755,0.0
cross_A_train_PAN_test_LG,gru,finetune,0.05,0.03863,0.5693
cross_A_train_PAN_test_LG,gru,finetune,0.1,0.02656,0.7459
cross_A_train_PAN_test_LG,gru,finetune,0.2,0.02026,0.8381
cross_A_train_PAN_test_LG,gru,finetune,0.5,0.01177,0.9623
cross_A_train_PAN_test_LG,gru,finetune,1.0,0.0106,0.9794
cross_A_train_PAN_test_LG,gru,recal_affine,0.0,0.07755,0.0
cross_A_train_PAN_test_LG,gru,recal_affine,0.05,0.06212,0.2257
cross_A_train_PAN_test_LG,gru,recal_affine,0.1,0.051,0.3884
cross_A_train_PAN_test_LG,gru,recal_affine,0.2,0.04966,0.408
cross_A_train_PAN_test_LG,gru,recal_affine,0.5,0.04935,0.4125
cross_A_train_PAN_test_LG,gru,recal_affine,1.0,0.04923,0.4143
cross_A_train_PAN_test_LG,gru,recal_bias,0.0,0.07755,0.0
cross_A_train_PAN_test_LG,gru,recal_bias,0.05,0.07586,0.0247
cross_A_train_PAN_test_LG,gru,recal_bias,0.1,0.05894,0.2722
cross_A_train_PAN_test_LG,gru,recal_bias,0.2,0.05773,0.2899
cross_A_train_PAN_test_LG,gru,recal_bias,0.5,0.0576,0.2918
cross_A_train_PAN_test_LG,gru,recal_bias,1.0,0.05742,0.2945
cross_A_train_PAN_test_LG,linear,recal_affine,0.0,0.0798,0.0
cross_A_train_PAN_test_LG,linear,recal_affine,0.05,0.07343,0.208
cross_A_train_PAN_test_LG,linear,recal_affine,0.1,0.06873,0.3615
cross_A_train_PAN_test_LG,linear,recal_affine,0.2,0.06731,0.4079
cross_A_train_PAN_test_LG,linear,recal_affine,0.5,0.06738,0.4056
cross_A_train_PAN_test_LG,linear,recal_affine,1.0,0.06707,0.4157
cross_A_train_PAN_test_LG,linear,recal_bias,0.0,0.0798,0.0
cross_A_train_PAN_test_LG,linear,recal_bias,0.05,0.07378,0.1966
cross_A_train_PAN_test_LG,linear,recal_bias,0.1,0.06797,0.3863
cross_A_train_PAN_test_LG,linear,recal_bias,0.2,0.06696,0.4193
cross_A_train_PAN_test_LG,linear,recal_bias,0.5,0.06655,0.4327
cross_A_train_PAN_test_LG,linear,recal_bias,1.0,0.06641,0.4373
cross_A_train_PAN_test_LG,lstm,finetune,0.0,0.08493,0.0
cross_A_train_PAN_test_LG,lstm,finetune,0.05,0.03914,0.5993
cross_A_train_PAN_test_LG,lstm,finetune,0.1,0.02578,0.7741
cross_A_train_PAN_test_LG,lstm,finetune,0.2,0.01912,0.8613
cross_A_train_PAN_test_LG,lstm,finetune,0.5,0.01163,0.9593
cross_A_train_PAN_test_LG,lstm,finetune,1.0,0.00985,0.9826
cross_A_train_PAN_test_LG,lstm,recal_affine,0.0,0.08493,0.0
cross_A_train_PAN_test_LG,lstm,recal_affine,0.05,0.06029,0.3225
cross_A_train_PAN_test_LG,lstm,recal_affine,0.1,0.05477,0.3947
cross_A_train_PAN_test_LG,lstm,recal_affine,0.2,0.05376,0.4079
cross_A_train_PAN_test_LG,lstm,recal_affine,0.5,0.05303,0.4175
cross_A_train_PAN_test_LG,lstm,recal_affine,1.0,0.05314,0.416
cross_A_train_PAN_test_LG,lstm,recal_bias,0.0,0.08493,0.0
cross_A_train_PAN_test_LG,lstm,recal_bias,0.05,0.07241,0.1639
cross_A_train_PAN_test_LG,lstm,recal_bias,0.1,0.06314,0.2852
cross_A_train_PAN_test_LG,lstm,recal_bias,0.2,0.06156,0.3059
cross_A_train_PAN_test_LG,lstm,recal_bias,0.5,0.06066,0.3176
cross_A_train_PAN_test_LG,lstm,recal_bias,1.0,0.06079,0.3159
cross_A_train_PAN_test_LG,mlp,recal_affine,0.0,0.08192,0.0
cross_A_train_PAN_test_LG,mlp,recal_affine,0.05,0.0582,0.3458
cross_A_train_PAN_test_LG,mlp,recal_affine,0.1,0.05232,0.4315
cross_A_train_PAN_test_LG,mlp,recal_affine,0.2,0.05121,0.4477
cross_A_train_PAN_test_LG,mlp,recal_affine,0.5,0.05053,0.4576
cross_A_train_PAN_test_LG,mlp,recal_affine,1.0,0.05055,0.4573
cross_A_train_PAN_test_LG,mlp,recal_bias,0.0,0.08192,0.0
cross_A_train_PAN_test_LG,mlp,recal_bias,0.05,0.06742,0.2114
cross_A_train_PAN_test_LG,mlp,recal_bias,0.1,0.05781,0.3515
cross_A_train_PAN_test_LG,mlp,recal_bias,0.2,0.05711,0.3617
cross_A_train_PAN_test_LG,mlp,recal_bias,0.5,0.05619,0.3751
cross_A_train_PAN_test_LG,mlp,recal_bias,1.0,0.05633,0.373
cross_A_train_PAN_test_LG,patchtst,finetune,0.0,0.05918,0.0
cross_A_train_PAN_test_LG,patchtst,finetune,0.05,0.04393,0.4092
cross_A_train_PAN_test_LG,patchtst,finetune,0.1,0.03744,0.5833
cross_A_train_PAN_test_LG,patchtst,finetune,0.2,0.03059,0.7671
cross_A_train_PAN_test_LG,patchtst,finetune,0.5,0.02162,1.0078
cross_A_train_PAN_test_LG,patchtst,finetune,1.0,0.01836,1.0953
cross_A_train_PAN_test_LG,patchtst,recal_affine,0.0,0.05918,0.0
cross_A_train_PAN_test_LG,patchtst,recal_affine,0.05,0.05159,0.2036
cross_A_train_PAN_test_LG,patchtst,recal_affine,0.1,0.05009,0.2439
cross_A_train_PAN_test_LG,patchtst,recal_affine,0.2,0.0458,0.359
cross_A_train_PAN_test_LG,patchtst,recal_affine,0.5,0.04464,0.3901
cross_A_train_PAN_test_LG,patchtst,recal_affine,1.0,0.04391,0.4097
cross_A_train_PAN_test_LG,patchtst,recal_bias,0.0,0.05918,0.0
cross_A_train_PAN_test_LG,patchtst,recal_bias,0.05,0.06646,-0.1953
cross_A_train_PAN_test_LG,patchtst,recal_bias,0.1,0.06363,-0.1194
cross_A_train_PAN_test_LG,patchtst,recal_bias,0.2,0.0589,0.0075
cross_A_train_PAN_test_LG,patchtst,recal_bias,0.5,0.05826,0.0247
cross_A_train_PAN_test_LG,patchtst,recal_bias,1.0,0.05744,0.0467
cross_A_train_PAN_test_LG,tcn,recal_affine,0.0,0.09028,0.0
cross_A_train_PAN_test_LG,tcn,recal_affine,0.05,0.05559,0.4682
cross_A_train_PAN_test_LG,tcn,recal_affine,0.1,0.05163,0.5216
cross_A_train_PAN_test_LG,tcn,recal_affine,0.2,0.05149,0.5235
cross_A_train_PAN_test_LG,tcn,recal_affine,0.5,0.05074,0.5336
cross_A_train_PAN_test_LG,tcn,recal_affine,1.0,0.05073,0.5337
cross_A_train_PAN_test_LG,tcn,recal_bias,0.0,0.09028,0.0
cross_A_train_PAN_test_LG,tcn,recal_bias,0.05,0.06238,0.3765
cross_A_train_PAN_test_LG,tcn,recal_bias,0.1,0.05625,0.4592
cross_A_train_PAN_test_LG,tcn,recal_bias,0.2,0.05624,0.4594
cross_A_train_PAN_test_LG,tcn,recal_bias,0.5,0.05516,0.474
cross_A_train_PAN_test_LG,tcn,recal_bias,1.0,0.05526,0.4726
cross_A_train_PAN_test_LG,transformer,recal_affine,0.0,0.08116,0.0
cross_A_train_PAN_test_LG,transformer,recal_affine,0.05,0.05525,0.3596
cross_A_train_PAN_test_LG,transformer,recal_affine,0.1,0.05273,0.3946
cross_A_train_PAN_test_LG,transformer,recal_affine,0.2,0.04963,0.4376
cross_A_train_PAN_test_LG,transformer,recal_affine,0.5,0.04937,0.4412
cross_A_train_PAN_test_LG,transformer,recal_affine,1.0,0.04907,0.4454
cross_A_train_PAN_test_LG,transformer,recal_bias,0.0,0.08116,0.0
