direction,model,method,zeroshot_mae,oracle_mae,gap,frac_to_close_80pct
cross_A_train_PAN_test_LG,bilstm,recal_affine,0.08309,0.00887,0.07422,
cross_A_train_PAN_test_LG,bilstm,recal_bias,0.08309,0.00887,0.07422,
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,0.08767,0.01211,0.07556,
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,0.08767,0.01211,0.07556,
cross_A_train_PAN_test_LG,gru,finetune,0.07755,0.00919,0.06836,0.2
cross_A_train_PAN_test_LG,gru,recal_affine,0.07755,0.00919,0.06836,
cross_A_train_PAN_test_LG,gru,recal_bias,0.07755,0.00919,0.06836,
cross_A_train_PAN_test_LG,linear,recal_affine,0.0798,0.04918,0.03062,
cross_A_train_PAN_test_LG,linear,recal_bias,0.0798,0.04918,0.03062,
cross_A_train_PAN_test_LG,lstm,finetune,0.08493,0.00852,0.07641,0.2
cross_A_train_PAN_test_LG,lstm,recal_affine,0.08493,0.00852,0.07641,
cross_A_train_PAN_test_LG,lstm,recal_bias,0.08493,0.00852,0.07641,
cross_A_train_PAN_test_LG,mlp,recal_affine,0.08192,0.01332,0.0686,
cross_A_train_PAN_test_LG,mlp,recal_bias,0.08192,0.01332,0.0686,
cross_A_train_PAN_test_LG,patchtst,finetune,0.05918,0.02191,0.03727,0.5
cross_A_train_PAN_test_LG,patchtst,recal_affine,0.05918,0.02191,0.03727,
cross_A_train_PAN_test_LG,patchtst,recal_bias,0.05918,0.02191,0.03727,
cross_A_train_PAN_test_LG,tcn,recal_affine,0.09028,0.01618,0.0741,
cross_A_train_PAN_test_LG,tcn,recal_bias,0.09028,0.01618,0.0741,
cross_A_train_PAN_test_LG,transformer,recal_affine,0.08116,0.00911,0.07205,
cross_A_train_PAN_test_LG,transformer,recal_bias,0.08116,0.00911,0.07205,
cross_B_train_LG_test_PAN,bilstm,recal_affine,0.07069,0.01504,0.05565,
cross_B_train_LG_test_PAN,bilstm,recal_bias,0.07069,0.01504,0.05565,
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_affine,0.07777,0.01525,0.06252,
cross_B_train_LG_test_PAN,cnn_bilstm_attn,recal_bias,0.07777,0.01525,0.06252,
cross_B_train_LG_test_PAN,gru,finetune,0.07092,0.01238,0.05854,0.5
cross_B_train_LG_test_PAN,gru,recal_affine,0.07092,0.01238,0.05854,
cross_B_train_LG_test_PAN,gru,recal_bias,0.07092,0.01238,0.05854,
cross_B_train_LG_test_PAN,linear,recal_affine,0.0672,0.06858,-0.00138,
cross_B_train_LG_test_PAN,linear,recal_bias,0.0672,0.06858,-0.00138,
cross_B_train_LG_test_PAN,lstm,finetune,0.06958,0.01622,0.05336,0.5
cross_B_train_LG_test_PAN,lstm,recal_affine,0.06958,0.01622,0.05336,
cross_B_train_LG_test_PAN,lstm,recal_bias,0.06958,0.01622,0.05336,
cross_B_train_LG_test_PAN,mlp,recal_affine,0.07648,0.01895,0.05753,
cross_B_train_LG_test_PAN,mlp,recal_bias,0.07648,0.01895,0.05753,
cross_B_train_LG_test_PAN,patchtst,finetune,0.06416,0.02437,0.03979,0.5
cross_B_train_LG_test_PAN,patchtst,recal_affine,0.06416,0.02437,0.03979,
cross_B_train_LG_test_PAN,patchtst,recal_bias,0.06416,0.02437,0.03979,
cross_B_train_LG_test_PAN,tcn,recal_affine,0.07646,0.01934,0.05712,
cross_B_train_LG_test_PAN,tcn,recal_bias,0.07646,0.01934,0.05712,
cross_B_train_LG_test_PAN,transformer,recal_affine,0.07383,0.0147,0.05913,
cross_B_train_LG_test_PAN,transformer,recal_bias,0.07383,0.0147,0.05913,
