direction,model,method,fraction,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,n_pool_windows
cross_A_train_PAN_test_LG,bilstm,recal_affine,0.0,5,0.08309,0.00307,0.10468,0.00543,0.06915,0.0
cross_A_train_PAN_test_LG,bilstm,recal_affine,0.05,5,0.05958,0.0027,0.07399,0.00353,-0.01028,1312.2
cross_A_train_PAN_test_LG,bilstm,recal_affine,0.1,5,0.05345,0.00291,0.0688,0.00449,0.0076,2603.0
cross_A_train_PAN_test_LG,bilstm,recal_affine,0.2,5,0.05348,0.00308,0.06827,0.00458,0.00174,5153.4
cross_A_train_PAN_test_LG,bilstm,recal_affine,0.5,5,0.053,0.00335,0.06736,0.00441,0.00021,14159.0
cross_A_train_PAN_test_LG,bilstm,recal_affine,1.0,5,0.05307,0.00336,0.06727,0.00442,-0.00126,27105.0
cross_A_train_PAN_test_LG,bilstm,recal_bias,0.0,5,0.08309,0.00307,0.10468,0.00543,0.06915,0.0
cross_A_train_PAN_test_LG,bilstm,recal_bias,0.05,5,0.07014,0.00505,0.08748,0.0054,-0.01368,1312.2
cross_A_train_PAN_test_LG,bilstm,recal_bias,0.1,5,0.06086,0.00366,0.08032,0.00601,0.01119,2603.0
cross_A_train_PAN_test_LG,bilstm,recal_bias,0.2,5,0.06098,0.00368,0.07974,0.00525,0.00389,5153.4
cross_A_train_PAN_test_LG,bilstm,recal_bias,0.5,5,0.06022,0.0039,0.07871,0.00493,0.00358,14159.0
cross_A_train_PAN_test_LG,bilstm,recal_bias,1.0,5,0.06036,0.00394,0.07858,0.0049,0.0009,27105.0
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,0.0,5,0.08767,0.00215,0.10699,0.00283,0.07436,0.0
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,0.05,5,0.06288,0.00957,0.07768,0.01091,-0.01198,1312.2
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,0.1,5,0.05417,0.00195,0.0681,0.00248,0.00981,2603.0
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,0.2,5,0.05272,0.00135,0.06624,0.00214,0.00141,5153.4
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,0.5,5,0.05208,0.00196,0.06536,0.00274,0.00183,14159.0
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_affine,1.0,5,0.05182,0.00208,0.06518,0.00284,-0.00055,27105.0
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,0.0,5,0.08767,0.00215,0.10699,0.00283,0.07436,0.0
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,0.05,5,0.07418,0.01433,0.09183,0.01529,-0.01451,1312.2
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,0.1,5,0.06162,0.00199,0.07962,0.00228,0.01326,2603.0
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,0.2,5,0.06066,0.00257,0.07811,0.0038,0.00361,5153.4
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,0.5,5,0.05969,0.00283,0.07717,0.00388,0.00538,14159.0
cross_A_train_PAN_test_LG,cnn_bilstm_attn,recal_bias,1.0,5,0.05945,0.00294,0.07688,0.00398,0.00164,27105.0
cross_A_train_PAN_test_LG,gru,finetune,0.0,5,0.07755,0.0035,0.09745,0.00445,0.06093,0.0
cross_A_train_PAN_test_LG,gru,finetune,0.05,5,0.03863,0.02583,0.04948,0.02754,0.01157,1312.2
cross_A_train_PAN_test_LG,gru,finetune,0.1,5,0.02656,0.00363,0.03632,0.00753,-0.00411,2603.0
cross_A_train_PAN_test_LG,gru,finetune,0.2,5,0.02026,0.00423,0.02731,0.00522,0.00192,5153.4
cross_A_train_PAN_test_LG,gru,finetune,0.5,5,0.01177,0.00085,0.01596,0.00135,0.00021,14159.0
cross_A_train_PAN_test_LG,gru,finetune,1.0,5,0.0106,0.00062,0.01432,0.00094,-0.00028,27105.0
cross_A_train_PAN_test_LG,gru,recal_affine,0.0,5,0.07755,0.0035,0.09745,0.00445,0.06093,0.0
cross_A_train_PAN_test_LG,gru,recal_affine,0.05,5,0.06212,0.02218,0.07609,0.02404,0.00342,1312.2
cross_A_train_PAN_test_LG,gru,recal_affine,0.1,5,0.051,0.00432,0.06558,0.0055,0.00476,2603.0
cross_A_train_PAN_test_LG,gru,recal_affine,0.2,5,0.04966,0.00465,0.06381,0.00522,0.00299,5153.4
cross_A_train_PAN_test_LG,gru,recal_affine,0.5,5,0.04935,0.004,0.06307,0.00446,0.00162,14159.0
cross_A_train_PAN_test_LG,gru,recal_affine,1.0,5,0.04923,0.00403,0.0629,0.00445,-0.00066,27105.0
cross_A_train_PAN_test_LG,gru,recal_bias,0.0,5,0.07755,0.0035,0.09745,0.00445,0.06093,0.0
cross_A_train_PAN_test_LG,gru,recal_bias,0.05,5,0.07586,0.02822,0.09241,0.02969,0.00154,1312.2
cross_A_train_PAN_test_LG,gru,recal_bias,0.1,5,0.05894,0.00484,0.07815,0.00617,0.00709,2603.0
cross_A_train_PAN_test_LG,gru,recal_bias,0.2,5,0.05773,0.00462,0.07672,0.00635,0.00528,5153.4
cross_A_train_PAN_test_LG,gru,recal_bias,0.5,5,0.0576,0.00459,0.07606,0.0061,0.0053,14159.0
cross_A_train_PAN_test_LG,gru,recal_bias,1.0,5,0.05742,0.00441,0.07579,0.00605,0.00159,27105.0
cross_A_train_PAN_test_LG,linear,recal_affine,0.0,5,0.0798,0.0,0.09923,0.0,0.05093,0.0
cross_A_train_PAN_test_LG,linear,recal_affine,0.05,5,0.07343,0.00692,0.0941,0.00765,-0.00916,1312.2
cross_A_train_PAN_test_LG,linear,recal_affine,0.1,5,0.06873,0.00145,0.08701,0.00127,0.00601,2603.0
cross_A_train_PAN_test_LG,linear,recal_affine,0.2,5,0.06731,0.0007,0.08569,0.00093,-0.00331,5153.4
cross_A_train_PAN_test_LG,linear,recal_affine,0.5,5,0.06738,0.00055,0.08531,0.00026,-0.00402,14159.0
cross_A_train_PAN_test_LG,linear,recal_affine,1.0,5,0.06707,0.0,0.08502,0.0,-0.00523,27105.0
cross_A_train_PAN_test_LG,linear,recal_bias,0.0,5,0.0798,0.0,0.09923,0.0,0.05093,0.0
cross_A_train_PAN_test_LG,linear,recal_bias,0.05,5,0.07378,0.00837,0.09356,0.00884,-0.00692,1312.2
cross_A_train_PAN_test_LG,linear,recal_bias,0.1,5,0.06797,0.00154,0.08682,0.00153,0.0074,2603.0
cross_A_train_PAN_test_LG,linear,recal_bias,0.2,5,0.06696,0.00064,0.0859,0.00099,-0.00303,5153.4
cross_A_train_PAN_test_LG,linear,recal_bias,0.5,5,0.06655,7e-05,0.08542,0.00019,-0.00322,14159.0
cross_A_train_PAN_test_LG,linear,recal_bias,1.0,5,0.06641,0.0,0.0853,0.0,-0.00489,27105.0
cross_A_train_PAN_test_LG,lstm,finetune,0.0,5,0.08493,0.00187,0.10633,0.00111,0.06971,0.0
cross_A_train_PAN_test_LG,lstm,finetune,0.05,5,0.03914,0.02342,0.05128,0.02916,0.01386,1312.2
