direction,condition,model,soc_bin,mae,count
cross_A_train_PAN_test_LG,C1_baseline,gru,0.1-0.2,0.08281,10200
cross_A_train_PAN_test_LG,C1_baseline,gru,0.2-0.3,0.04954,22920
cross_A_train_PAN_test_LG,C1_baseline,gru,0.3-0.4,0.06679,19555
cross_A_train_PAN_test_LG,C1_baseline,gru,0.4-0.5,0.06373,27250
cross_A_train_PAN_test_LG,C1_baseline,gru,0.5-0.6,0.07272,31650
cross_A_train_PAN_test_LG,C1_baseline,gru,0.6-0.7,0.09772,25455
cross_A_train_PAN_test_LG,C1_baseline,gru,0.7-0.8,0.10724,26610
cross_A_train_PAN_test_LG,C1_baseline,gru,0.8-0.9,0.09894,27010
cross_A_train_PAN_test_LG,C1_baseline,gru,0.9-1.0,0.05185,30760
cross_A_train_PAN_test_LG,C1_baseline,linear,0.1-0.2,0.08681,10200
cross_A_train_PAN_test_LG,C1_baseline,linear,0.2-0.3,0.11236,22920
cross_A_train_PAN_test_LG,C1_baseline,linear,0.3-0.4,0.11834,19555
cross_A_train_PAN_test_LG,C1_baseline,linear,0.4-0.5,0.09134,27250
cross_A_train_PAN_test_LG,C1_baseline,linear,0.5-0.6,0.0749,31650
cross_A_train_PAN_test_LG,C1_baseline,linear,0.6-0.7,0.08036,25455
cross_A_train_PAN_test_LG,C1_baseline,linear,0.7-0.8,0.07456,26610
cross_A_train_PAN_test_LG,C1_baseline,linear,0.8-0.9,0.06673,27010
cross_A_train_PAN_test_LG,C1_baseline,linear,0.9-1.0,0.05242,30760
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.1-0.2,0.0778,10200
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.2-0.3,0.05459,22920
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.3-0.4,0.07996,19555
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.4-0.5,0.07285,27250
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.5-0.6,0.08294,31650
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.6-0.7,0.11037,25455
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.7-0.8,0.11995,26610
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.8-0.9,0.10757,27010
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.9-1.0,0.05004,30760
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.1-0.2,0.0644,10200
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.2-0.3,0.05268,22920
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.3-0.4,0.08013,19555
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.4-0.5,0.07522,27250
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.5-0.6,0.08205,31650
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.6-0.7,0.10808,25455
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.7-0.8,0.11485,26610
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.8-0.9,0.10421,27010
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.9-1.0,0.05034,30760
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.1-0.2,0.12328,10200
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.2-0.3,0.05137,22920
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.3-0.4,0.04211,19555
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.4-0.5,0.03714,27250
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.5-0.6,0.0486,31650
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.6-0.7,0.06283,25455
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.7-0.8,0.06806,26610
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.8-0.9,0.06994,27010
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.9-1.0,0.05712,30760
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.1-0.2,0.07457,10200
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.2-0.3,0.05519,22920
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.3-0.4,0.07193,19555
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.4-0.5,0.06345,27250
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.5-0.6,0.07133,31650
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.6-0.7,0.09522,25455
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.7-0.8,0.10278,26610
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.8-0.9,0.09353,27010
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.9-1.0,0.04893,30760
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.1-0.2,0.07409,10200
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.2-0.3,0.11726,22920
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.3-0.4,0.11774,19555
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.4-0.5,0.07617,27250
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.5-0.6,0.06307,31650
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.6-0.7,0.07422,25455
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.7-0.8,0.07057,26610
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.8-0.9,0.06507,27010
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.9-1.0,0.04834,30760
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.1-0.2,0.07221,10200
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.2-0.3,0.05895,22920
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.3-0.4,0.08636,19555
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.4-0.5,0.07675,27250
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.5-0.6,0.08463,31650
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.6-0.7,0.11149,25455
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.7-0.8,0.11722,26610
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.8-0.9,0.10279,27010
cross_A_train_PAN_test_LG,C2_ocv_mean,lstm,0.9-1.0,0.04565,30760
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.1-0.2,0.05224,10200
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.2-0.3,0.07,22920
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.3-0.4,0.09609,19555
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.4-0.5,0.07657,27250
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.5-0.6,0.08082,31650
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.6-0.7,0.10497,25455
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.7-0.8,0.11025,26610
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.8-0.9,0.10425,27010
cross_A_train_PAN_test_LG,C2_ocv_mean,mlp,0.9-1.0,0.05897,30760
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.1-0.2,0.11269,10200
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.2-0.3,0.04393,22920
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.3-0.4,0.04177,19555
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.4-0.5,0.03732,27250
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.5-0.6,0.04868,31650
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.6-0.7,0.06378,25455
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.7-0.8,0.06791,26610
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.8-0.9,0.06925,27010
cross_A_train_PAN_test_LG,C2_ocv_mean,patchtst,0.9-1.0,0.05153,30760
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.1-0.2,0.06861,10200
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.2-0.3,0.05351,22920
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.3-0.4,0.0726,19555
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.4-0.5,0.05952,27250
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.5-0.6,0.06765,31650
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.6-0.7,0.08725,25455
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.7-0.8,0.08981,26610
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.8-0.9,0.07803,27010
cross_A_train_PAN_test_LG,C3_ocv_dischg,gru,0.9-1.0,0.03786,30760
