direction,model,condition,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,bias_std
cross_A_train_PAN_test_LG,gru,C1_baseline,5,0.07648,0.00359,0.09627,0.0045,0.05996,0.00589
cross_A_train_PAN_test_LG,gru,C2_ocv_mean,5,0.07501,0.00615,0.09409,0.00822,0.05759,0.00873
cross_A_train_PAN_test_LG,gru,C3_ocv_dischg,5,0.06771,0.00796,0.08822,0.00939,0.04904,0.00714
cross_A_train_PAN_test_LG,gru,C4_coral,5,0.08152,0.00389,0.09722,0.00363,0.05568,0.00504
cross_A_train_PAN_test_LG,linear,C1_baseline,5,0.08165,0.0,0.10179,0.0,0.05392,0.0
cross_A_train_PAN_test_LG,linear,C2_ocv_mean,5,0.07601,0.0,0.09824,0.0,0.05516,0.0
cross_A_train_PAN_test_LG,linear,C3_ocv_dischg,5,0.07009,0.0,0.09326,0.0,0.03112,0.0
cross_A_train_PAN_test_LG,linear,C4_coral,5,0.08707,0.0,0.10111,0.0,0.05259,0.0
cross_A_train_PAN_test_LG,lstm,C1_baseline,5,0.0843,0.00189,0.1056,0.00101,0.06897,0.00374
cross_A_train_PAN_test_LG,lstm,C2_ocv_mean,5,0.08439,0.003,0.10608,0.00336,0.07008,0.00476
cross_A_train_PAN_test_LG,lstm,C3_ocv_dischg,5,0.0769,0.00325,0.09966,0.0024,0.05928,0.00313
cross_A_train_PAN_test_LG,lstm,C4_coral,5,0.08112,0.00303,0.09691,0.00291,0.05797,0.0048
cross_A_train_PAN_test_LG,mlp,C1_baseline,5,0.08242,0.00214,0.10276,0.0034,0.07294,0.00378
cross_A_train_PAN_test_LG,mlp,C2_ocv_mean,5,0.08534,0.00419,0.10809,0.00497,0.07417,0.00482
cross_A_train_PAN_test_LG,mlp,C3_ocv_dischg,5,0.07171,0.00885,0.09818,0.01243,0.04652,0.01456
cross_A_train_PAN_test_LG,mlp,C4_coral,5,0.07856,0.00286,0.09325,0.00346,0.05592,0.00324
cross_A_train_PAN_test_LG,patchtst,C1_baseline,5,0.05811,0.00135,0.07338,0.00193,0.01093,0.00354
cross_A_train_PAN_test_LG,patchtst,C2_ocv_mean,5,0.05608,0.00183,0.07074,0.00181,0.01755,0.00511
cross_A_train_PAN_test_LG,patchtst,C3_ocv_dischg,5,0.05737,0.0044,0.07279,0.00517,0.01962,0.0082
cross_A_train_PAN_test_LG,patchtst,C4_coral,5,0.12063,0.00345,0.14554,0.00324,0.09391,0.00368
cross_B_train_LG_test_PAN,gru,C1_baseline,5,0.07357,0.00422,0.09097,0.00192,-0.05521,0.00485
cross_B_train_LG_test_PAN,gru,C2_ocv_mean,5,0.07451,0.00246,0.09192,0.00106,-0.05691,0.00434
cross_B_train_LG_test_PAN,gru,C3_ocv_dischg,5,0.07115,0.00312,0.08876,0.00213,-0.0444,0.00628
cross_B_train_LG_test_PAN,gru,C4_coral,5,0.06989,0.00026,0.08565,0.00062,-0.05025,0.00127
cross_B_train_LG_test_PAN,linear,C1_baseline,5,0.07366,0.0,0.0971,0.0,-0.0388,0.0
cross_B_train_LG_test_PAN,linear,C2_ocv_mean,5,0.07302,0.0,0.09555,0.0,-0.03631,0.0
cross_B_train_LG_test_PAN,linear,C3_ocv_dischg,5,0.07392,0.0,0.10292,0.0,0.00405,0.0
cross_B_train_LG_test_PAN,linear,C4_coral,5,0.09223,0.0,0.12039,0.0,-0.05744,0.0
cross_B_train_LG_test_PAN,lstm,C1_baseline,5,0.07009,0.00091,0.09158,0.00162,-0.05846,0.00244
cross_B_train_LG_test_PAN,lstm,C2_ocv_mean,5,0.07135,0.00312,0.0927,0.00142,-0.05977,0.00272
cross_B_train_LG_test_PAN,lstm,C3_ocv_dischg,5,0.06902,0.00278,0.08991,0.00153,-0.05482,0.0045
cross_B_train_LG_test_PAN,lstm,C4_coral,5,0.07147,0.00076,0.08812,0.00091,-0.05363,0.00192
cross_B_train_LG_test_PAN,mlp,C1_baseline,5,0.08153,0.00255,0.09581,0.00282,-0.04513,0.00177
cross_B_train_LG_test_PAN,mlp,C2_ocv_mean,5,0.08033,0.00248,0.09571,0.00138,-0.0502,0.00205
cross_B_train_LG_test_PAN,mlp,C3_ocv_dischg,5,0.07508,0.00582,0.09504,0.00809,-0.02808,0.01643
cross_B_train_LG_test_PAN,mlp,C4_coral,5,0.07098,0.00238,0.08662,0.00204,-0.05225,0.00121
cross_B_train_LG_test_PAN,patchtst,C1_baseline,5,0.069,0.00198,0.08313,0.00197,-0.0283,0.00391
cross_B_train_LG_test_PAN,patchtst,C2_ocv_mean,5,0.07123,0.00501,0.08576,0.00546,-0.02913,0.00314
cross_B_train_LG_test_PAN,patchtst,C3_ocv_dischg,5,0.06818,0.00447,0.08517,0.00502,-0.02207,0.00396
cross_B_train_LG_test_PAN,patchtst,C4_coral,5,0.08033,0.00382,0.10051,0.00427,-0.05112,0.00868
