direction,condition,model,soc_bin,mae,count
cross_A_train_PAN_test_LG,C1_baseline,gru,0.1-0.2,0.24354,46
cross_A_train_PAN_test_LG,C1_baseline,gru,0.2-0.3,0.14701,71
cross_A_train_PAN_test_LG,C1_baseline,gru,0.3-0.4,0.2615,69
cross_A_train_PAN_test_LG,C1_baseline,gru,0.4-0.5,0.24507,110
cross_A_train_PAN_test_LG,C1_baseline,gru,0.5-0.6,0.30816,123
cross_A_train_PAN_test_LG,C1_baseline,gru,0.6-0.7,0.35204,97
cross_A_train_PAN_test_LG,C1_baseline,gru,0.7-0.8,0.40398,94
cross_A_train_PAN_test_LG,C1_baseline,gru,0.8-0.9,0.4465,78
cross_A_train_PAN_test_LG,C1_baseline,gru,0.9-1.0,0.4556,112
cross_A_train_PAN_test_LG,C1_baseline,linear,0.1-0.2,0.0957,46
cross_A_train_PAN_test_LG,C1_baseline,linear,0.2-0.3,0.12275,71
cross_A_train_PAN_test_LG,C1_baseline,linear,0.3-0.4,0.11554,69
cross_A_train_PAN_test_LG,C1_baseline,linear,0.4-0.5,0.09353,110
cross_A_train_PAN_test_LG,C1_baseline,linear,0.5-0.6,0.07538,123
cross_A_train_PAN_test_LG,C1_baseline,linear,0.6-0.7,0.07495,97
cross_A_train_PAN_test_LG,C1_baseline,linear,0.7-0.8,0.08223,94
cross_A_train_PAN_test_LG,C1_baseline,linear,0.8-0.9,0.07158,78
cross_A_train_PAN_test_LG,C1_baseline,linear,0.9-1.0,0.05416,112
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.1-0.2,0.07068,46
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.2-0.3,0.07054,71
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.3-0.4,0.15702,69
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.4-0.5,0.18123,110
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.5-0.6,0.22903,123
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.6-0.7,0.28479,97
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.7-0.8,0.34267,94
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.8-0.9,0.37669,78
cross_A_train_PAN_test_LG,C1_baseline,lstm,0.9-1.0,0.37578,112
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.1-0.2,0.22599,46
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.2-0.3,0.22749,71
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.3-0.4,0.25526,69
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.4-0.5,0.2075,110
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.5-0.6,0.19969,123
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.6-0.7,0.21173,97
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.7-0.8,0.22596,94
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.8-0.9,0.21944,78
cross_A_train_PAN_test_LG,C1_baseline,mlp,0.9-1.0,0.19205,112
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.1-0.2,0.09006,46
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.2-0.3,0.20719,71
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.3-0.4,0.19261,69
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.4-0.5,0.16629,110
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.5-0.6,0.13131,123
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.6-0.7,0.14147,97
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.7-0.8,0.18005,94
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.8-0.9,0.17012,78
cross_A_train_PAN_test_LG,C1_baseline,patchtst,0.9-1.0,0.16481,112
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.1-0.2,0.11456,46
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.2-0.3,0.09877,71
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.3-0.4,0.13343,69
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.4-0.5,0.12769,110
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.5-0.6,0.17846,123
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.6-0.7,0.21321,97
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.7-0.8,0.25723,94
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.8-0.9,0.29679,78
cross_A_train_PAN_test_LG,C2_ocv_mean,gru,0.9-1.0,0.30852,112
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.1-0.2,0.08477,46
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.2-0.3,0.12728,71
cross_A_train_PAN_test_LG,C2_ocv_mean,linear,0.3-0.4,0.12691,69
