direction,model,zero_shot,ocv_mean,ocv_dischg,coral,recal_affine_plateau,finetune_oracle,pct_gap_closed
cross_A_train_PAN_test_LG,gru,0.32815,0.20006,0.20283,0.30269,0.04923,0.0106,0.4034
cross_A_train_PAN_test_LG,linear,0.08412,0.08124,0.07713,0.08804,0.06707,,
cross_A_train_PAN_test_LG,lstm,0.24813,0.20013,0.20023,0.22915,0.05314,0.00985,0.2014
cross_A_train_PAN_test_LG,mlp,0.21494,0.18814,0.17,0.14786,0.05055,,
cross_A_train_PAN_test_LG,patchtst,0.1612,0.14238,0.1423,0.19896,0.04391,0.01836,0.1318
cross_B_train_LG_test_PAN,gru,0.33062,0.19855,0.1931,0.31982,0.05575,0.01638,0.4203
cross_B_train_LG_test_PAN,linear,0.0775,0.07655,0.07852,0.09092,0.06533,,
cross_B_train_LG_test_PAN,lstm,0.26307,0.21578,0.21138,0.24637,0.05603,0.01674,0.192
cross_B_train_LG_test_PAN,mlp,0.16376,0.15556,0.15066,0.15742,0.06131,,
cross_B_train_LG_test_PAN,patchtst,0.16246,0.16902,0.17382,0.13254,0.05732,0.02445,-0.0475
