direction,model,condition,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,bias_std
cross_A_train_PAN_test_LG,gru,C1_baseline,1,0.32815,,0.36195,,-0.328,
cross_A_train_PAN_test_LG,gru,C2_ocv_mean,1,0.20006,,0.2365,,-0.18947,
cross_A_train_PAN_test_LG,gru,C3_ocv_dischg,1,0.20283,,0.23957,,-0.19208,
cross_A_train_PAN_test_LG,gru,C4_coral,1,0.30269,,0.3264,,-0.30239,
cross_A_train_PAN_test_LG,linear,C1_baseline,1,0.08412,,0.10773,,0.05049,
cross_A_train_PAN_test_LG,linear,C2_ocv_mean,1,0.08124,,0.10778,,0.05273,
cross_A_train_PAN_test_LG,linear,C3_ocv_dischg,1,0.07713,,0.10412,,0.0277,
cross_A_train_PAN_test_LG,linear,C4_coral,1,0.08804,,0.10492,,0.0477,
cross_A_train_PAN_test_LG,lstm,C1_baseline,1,0.24813,,0.28758,,-0.24593,
cross_A_train_PAN_test_LG,lstm,C2_ocv_mean,1,0.20013,,0.24524,,-0.16796,
cross_A_train_PAN_test_LG,lstm,C3_ocv_dischg,1,0.20023,,0.24516,,-0.16861,
cross_A_train_PAN_test_LG,lstm,C4_coral,1,0.22915,,0.26148,,-0.22723,
cross_A_train_PAN_test_LG,mlp,C1_baseline,1,0.21494,,0.28153,,0.16226,
cross_A_train_PAN_test_LG,mlp,C2_ocv_mean,1,0.18814,,0.2462,,0.16462,
cross_A_train_PAN_test_LG,mlp,C3_ocv_dischg,1,0.17,,0.2265,,0.13923,
cross_A_train_PAN_test_LG,mlp,C4_coral,1,0.14786,,0.17323,,-0.09925,
cross_A_train_PAN_test_LG,patchtst,C1_baseline,1,0.1612,,0.19461,,0.09769,
cross_A_train_PAN_test_LG,patchtst,C2_ocv_mean,1,0.14238,,0.17768,,0.0302,
cross_A_train_PAN_test_LG,patchtst,C3_ocv_dischg,1,0.1423,,0.17803,,0.02698,
cross_A_train_PAN_test_LG,patchtst,C4_coral,1,0.19896,,0.23828,,0.14814,
cross_B_train_LG_test_PAN,gru,C1_baseline,1,0.33062,,0.35261,,-0.33062,
cross_B_train_LG_test_PAN,gru,C2_ocv_mean,1,0.19855,,0.22728,,-0.19609,
cross_B_train_LG_test_PAN,gru,C3_ocv_dischg,1,0.1931,,0.22211,,-0.19031,
cross_B_train_LG_test_PAN,gru,C4_coral,1,0.31982,,0.35828,,-0.31901,
cross_B_train_LG_test_PAN,linear,C1_baseline,1,0.0775,,0.10866,,-0.04164,
cross_B_train_LG_test_PAN,linear,C2_ocv_mean,1,0.07655,,0.10497,,-0.0407,
cross_B_train_LG_test_PAN,linear,C3_ocv_dischg,1,0.07852,,0.11051,,0.00215,
cross_B_train_LG_test_PAN,linear,C4_coral,1,0.09092,,0.11684,,-0.05486,
cross_B_train_LG_test_PAN,lstm,C1_baseline,1,0.26307,,0.29355,,-0.26072,
cross_B_train_LG_test_PAN,lstm,C2_ocv_mean,1,0.21578,,0.24743,,-0.18704,
cross_B_train_LG_test_PAN,lstm,C3_ocv_dischg,1,0.21138,,0.24255,,-0.18162,
cross_B_train_LG_test_PAN,lstm,C4_coral,1,0.24637,,0.29043,,-0.24263,
cross_B_train_LG_test_PAN,mlp,C1_baseline,1,0.16376,,0.19498,,-0.08452,
cross_B_train_LG_test_PAN,mlp,C2_ocv_mean,1,0.15556,,0.18281,,-0.0591,
cross_B_train_LG_test_PAN,mlp,C3_ocv_dischg,1,0.15066,,0.1774,,-0.03951,
cross_B_train_LG_test_PAN,mlp,C4_coral,1,0.15742,,0.19402,,-0.04964,
cross_B_train_LG_test_PAN,patchtst,C1_baseline,1,0.16246,,0.19642,,-0.01305,
cross_B_train_LG_test_PAN,patchtst,C2_ocv_mean,1,0.16902,,0.19497,,-0.15649,
cross_B_train_LG_test_PAN,patchtst,C3_ocv_dischg,1,0.17382,,0.1999,,-0.16353,
cross_B_train_LG_test_PAN,patchtst,C4_coral,1,0.13254,,0.166,,-0.02037,
