direction,condition,model,soc_bin,mae,count
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,0.1-0.2,0.0656,10200
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,0.2-0.3,0.05684,22920
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,0.3-0.4,0.08347,19555
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,0.4-0.5,0.07302,27250
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,0.5-0.6,0.08022,31650
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,0.6-0.7,0.10663,25455
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,0.7-0.8,0.1139,26610
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,0.8-0.9,0.09812,27010
cross_A_train_PAN_test_LG,C2_ocv_mean,bilstm,0.9-1.0,0.0423,30760
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,0.1-0.2,0.05927,10200
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,0.2-0.3,0.06645,22920
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,0.3-0.4,0.09657,19555
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,0.4-0.5,0.08689,27250
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,0.5-0.6,0.09054,31650
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,0.6-0.7,0.10797,25455
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,0.7-0.8,0.11539,26610
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,0.8-0.9,0.10147,27010
cross_A_train_PAN_test_LG,C2_ocv_mean,cnn_bilstm_attn,0.9-1.0,0.05122,30760
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,0.1-0.2,0.03711,10200
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,0.2-0.3,0.07134,22920
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,0.3-0.4,0.10342,19555
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,0.4-0.5,0.09272,27250
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,0.5-0.6,0.09626,31650
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,0.6-0.7,0.11183,25455
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,0.7-0.8,0.12039,26610
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,0.8-0.9,0.11081,27010
cross_A_train_PAN_test_LG,C2_ocv_mean,tcn,0.9-1.0,0.0536,30760
cross_A_train_PAN_test_LG,C2_ocv_mean,transformer,0.1-0.2,0.07609,10200
