direction,model,condition,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,bias_std
cross_A_train_PAN_test_LG,bilstm,C2_ocv_mean,5,0.08053,0.00346,0.10218,0.00277,0.06627,0.00292
cross_A_train_PAN_test_LG,bilstm,C4_coral,5,0.08182,0.00192,0.09771,0.00262,0.05714,0.00734
cross_A_train_PAN_test_LG,cnn_bilstm_attn,C2_ocv_mean,5,0.08755,0.00855,0.1066,0.009,0.07591,0.00561
cross_A_train_PAN_test_LG,cnn_bilstm_attn,C4_coral,5,0.08715,0.00418,0.1039,0.00406,0.06019,0.00606
cross_A_train_PAN_test_LG,tcn,C2_ocv_mean,5,0.09169,0.0075,0.11223,0.00637,0.08672,0.00847
cross_A_train_PAN_test_LG,tcn,C4_coral,5,0.0899,0.00278,0.10884,0.00343,0.07197,0.00293
cross_A_train_PAN_test_LG,transformer,C2_ocv_mean,5,0.07771,0.00648,0.09492,0.00707,0.06047,0.00785
cross_A_train_PAN_test_LG,transformer,C4_coral,5,0.08006,0.00782,0.09571,0.00886,0.05141,0.00367
cross_B_train_LG_test_PAN,bilstm,C2_ocv_mean,5,0.07144,0.00093,0.09311,0.0018,-0.06118,0.00377
cross_B_train_LG_test_PAN,bilstm,C4_coral,5,0.0695,0.00114,0.08605,0.00082,-0.05064,0.00165
cross_B_train_LG_test_PAN,cnn_bilstm_attn,C2_ocv_mean,5,0.08256,0.00149,0.09982,0.00155,-0.05338,0.0024
cross_B_train_LG_test_PAN,cnn_bilstm_attn,C4_coral,5,0.07804,0.00089,0.09611,0.00157,-0.05869,0.00184
cross_B_train_LG_test_PAN,tcn,C2_ocv_mean,5,0.07707,0.00428,0.09673,0.00254,-0.05709,0.00307
cross_B_train_LG_test_PAN,tcn,C4_coral,5,0.07672,0.00224,0.09512,0.00262,-0.05395,0.00455
cross_B_train_LG_test_PAN,transformer,C2_ocv_mean,5,0.07335,0.00663,0.08887,0.00457,-0.05096,0.00613
cross_B_train_LG_test_PAN,transformer,C4_coral,5,0.07349,0.00252,0.08874,0.00256,-0.05694,0.00347
