direction,model,condition,c1_mae,cond_mae,oracle_mae,gapclose
cross_A_train_PAN_test_LG,bilstm,C2_ocv_mean,0.08263,0.08053,0.00887,0.0285
cross_A_train_PAN_test_LG,cnn_bilstm_attn,C2_ocv_mean,0.08592,0.08755,0.01211,-0.0221
cross_A_train_PAN_test_LG,gru,C2_ocv_mean,0.07648,0.07501,0.00919,0.0218
cross_A_train_PAN_test_LG,linear,C2_ocv_mean,0.08165,0.07601,0.04918,0.1737
cross_A_train_PAN_test_LG,lstm,C2_ocv_mean,0.0843,0.08439,0.00852,-0.0012
cross_A_train_PAN_test_LG,mlp,C2_ocv_mean,0.08242,0.08534,0.01332,-0.0423
cross_A_train_PAN_test_LG,patchtst,C2_ocv_mean,0.05811,0.05608,0.02191,0.0561
cross_A_train_PAN_test_LG,tcn,C2_ocv_mean,0.08931,0.09169,0.01618,-0.0325
cross_A_train_PAN_test_LG,transformer,C2_ocv_mean,0.08069,0.07771,0.00911,0.0416
cross_A_train_PAN_test_LG,bilstm,C4_coral,0.08263,0.08182,0.00887,0.011
cross_A_train_PAN_test_LG,cnn_bilstm_attn,C4_coral,0.08592,0.08715,0.01211,-0.0167
cross_A_train_PAN_test_LG,gru,C4_coral,0.07648,0.08152,0.00919,-0.0749
cross_A_train_PAN_test_LG,linear,C4_coral,0.08165,0.08707,0.04918,-0.1669
cross_A_train_PAN_test_LG,lstm,C4_coral,0.0843,0.08112,0.00852,0.042
cross_A_train_PAN_test_LG,mlp,C4_coral,0.08242,0.07856,0.01332,0.0559
cross_A_train_PAN_test_LG,patchtst,C4_coral,0.05811,0.12063,0.02191,-1.7271
cross_A_train_PAN_test_LG,tcn,C4_coral,0.08931,0.0899,0.01618,-0.0081
cross_A_train_PAN_test_LG,transformer,C4_coral,0.08069,0.08006,0.00911,0.0088
cross_B_train_LG_test_PAN,bilstm,C2_ocv_mean,0.07137,0.07144,0.01504,-0.0012
cross_B_train_LG_test_PAN,cnn_bilstm_attn,C2_ocv_mean,0.08135,0.08256,0.01525,-0.0183
cross_B_train_LG_test_PAN,gru,C2_ocv_mean,0.07357,0.07451,0.01238,-0.0154
cross_B_train_LG_test_PAN,linear,C2_ocv_mean,0.07366,0.07302,0.06858,0.126
cross_B_train_LG_test_PAN,lstm,C2_ocv_mean,0.07009,0.07135,0.01622,-0.0234
cross_B_train_LG_test_PAN,mlp,C2_ocv_mean,0.08153,0.08033,0.01895,0.0192
cross_B_train_LG_test_PAN,patchtst,C2_ocv_mean,0.069,0.07123,0.02437,-0.05
cross_B_train_LG_test_PAN,tcn,C2_ocv_mean,0.0768,0.07707,0.01934,-0.0047
cross_B_train_LG_test_PAN,transformer,C2_ocv_mean,0.07638,0.07335,0.0147,0.0491
cross_B_train_LG_test_PAN,bilstm,C4_coral,0.07137,0.0695,0.01504,0.0332
cross_B_train_LG_test_PAN,cnn_bilstm_attn,C4_coral,0.08135,0.07804,0.01525,0.0501
cross_B_train_LG_test_PAN,gru,C4_coral,0.07357,0.06989,0.01238,0.0601
cross_B_train_LG_test_PAN,linear,C4_coral,0.07366,0.09223,0.06858,-3.6555
cross_B_train_LG_test_PAN,lstm,C4_coral,0.07009,0.07147,0.01622,-0.0256
cross_B_train_LG_test_PAN,mlp,C4_coral,0.08153,0.07098,0.01895,0.1686
cross_B_train_LG_test_PAN,patchtst,C4_coral,0.069,0.08033,0.02437,-0.2539
cross_B_train_LG_test_PAN,tcn,C4_coral,0.0768,0.07672,0.01934,0.0014
cross_B_train_LG_test_PAN,transformer,C4_coral,0.07638,0.07349,0.0147,0.0469
