direction,model,condition,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,bias_std
cross_A_train_PAN_test_LG,bilstm,C2_ocv_mean,5,0.08053,0.00346,0.10218,0.00277,0.06627,0.00292
cross_A_train_PAN_test_LG,cnn_bilstm_attn,C2_ocv_mean,5,0.08755,0.00855,0.1066,0.009,0.07591,0.00561
cross_A_train_PAN_test_LG,gru,C2_ocv_mean,5,0.07501,0.00615,0.09409,0.00822,0.05759,0.00873
cross_A_train_PAN_test_LG,linear,C2_ocv_mean,5,0.07601,0.0,0.09824,0.0,0.05516,0.0
cross_A_train_PAN_test_LG,lstm,C2_ocv_mean,5,0.08439,0.003,0.10608,0.00336,0.07008,0.00476
cross_A_train_PAN_test_LG,mlp,C2_ocv_mean,5,0.08534,0.00419,0.10809,0.00497,0.07417,0.00482
cross_A_train_PAN_test_LG,patchtst,C2_ocv_mean,5,0.05608,0.00183,0.07074,0.00181,0.01755,0.00511
cross_A_train_PAN_test_LG,tcn,C2_ocv_mean,5,0.09169,0.0075,0.11223,0.00637,0.08672,0.00847
cross_A_train_PAN_test_LG,transformer,C2_ocv_mean,5,0.07771,0.00648,0.09492,0.00707,0.06047,0.00785
cross_A_train_PAN_test_LG,bilstm,C4_coral,5,0.08182,0.00192,0.09771,0.00262,0.05714,0.00734
cross_A_train_PAN_test_LG,cnn_bilstm_attn,C4_coral,5,0.08715,0.00418,0.1039,0.00406,0.06019,0.00606
cross_A_train_PAN_test_LG,gru,C4_coral,5,0.08152,0.00389,0.09722,0.00363,0.05568,0.00504
cross_A_train_PAN_test_LG,linear,C4_coral,5,0.08707,0.0,0.10111,0.0,0.05259,0.0
cross_A_train_PAN_test_LG,lstm,C4_coral,5,0.08112,0.00303,0.09691,0.00291,0.05797,0.0048
cross_A_train_PAN_test_LG,mlp,C4_coral,5,0.07856,0.00286,0.09325,0.00346,0.05592,0.00324
cross_A_train_PAN_test_LG,patchtst,C4_coral,5,0.12063,0.00345,0.14554,0.00324,0.09391,0.00368
cross_A_train_PAN_test_LG,tcn,C4_coral,5,0.0899,0.00278,0.10884,0.00343,0.07197,0.00293
cross_A_train_PAN_test_LG,transformer,C4_coral,5,0.08006,0.00782,0.09571,0.00886,0.05141,0.00367
cross_B_train_LG_test_PAN,bilstm,C2_ocv_mean,5,0.07144,0.00093,0.09311,0.0018,-0.06118,0.00377
cross_B_train_LG_test_PAN,cnn_bilstm_attn,C2_ocv_mean,5,0.08256,0.00149,0.09982,0.00155,-0.05338,0.0024
cross_B_train_LG_test_PAN,gru,C2_ocv_mean,5,0.07451,0.00246,0.09192,0.00106,-0.05691,0.00434
cross_B_train_LG_test_PAN,linear,C2_ocv_mean,5,0.07302,0.0,0.09555,0.0,-0.03631,0.0
cross_B_train_LG_test_PAN,lstm,C2_ocv_mean,5,0.07135,0.00312,0.0927,0.00142,-0.05977,0.00272
cross_B_train_LG_test_PAN,mlp,C2_ocv_mean,5,0.08033,0.00248,0.09571,0.00138,-0.0502,0.00205
cross_B_train_LG_test_PAN,patchtst,C2_ocv_mean,5,0.07123,0.00501,0.08576,0.00546,-0.02913,0.00314
cross_B_train_LG_test_PAN,tcn,C2_ocv_mean,5,0.07707,0.00428,0.09673,0.00254,-0.05709,0.00307
cross_B_train_LG_test_PAN,transformer,C2_ocv_mean,5,0.07335,0.00663,0.08887,0.00457,-0.05096,0.00613
cross_B_train_LG_test_PAN,bilstm,C4_coral,5,0.0695,0.00114,0.08605,0.00082,-0.05064,0.00165
cross_B_train_LG_test_PAN,cnn_bilstm_attn,C4_coral,5,0.07804,0.00089,0.09611,0.00157,-0.05869,0.00184
cross_B_train_LG_test_PAN,gru,C4_coral,5,0.06989,0.00026,0.08565,0.00062,-0.05025,0.00127
cross_B_train_LG_test_PAN,linear,C4_coral,5,0.09223,0.0,0.12039,0.0,-0.05744,0.0
cross_B_train_LG_test_PAN,lstm,C4_coral,5,0.07147,0.00076,0.08812,0.00091,-0.05363,0.00192
cross_B_train_LG_test_PAN,mlp,C4_coral,5,0.07098,0.00238,0.08662,0.00204,-0.05225,0.00121
cross_B_train_LG_test_PAN,patchtst,C4_coral,5,0.08033,0.00382,0.10051,0.00427,-0.05112,0.00868
cross_B_train_LG_test_PAN,tcn,C4_coral,5,0.07672,0.00224,0.09512,0.00262,-0.05395,0.00455
cross_B_train_LG_test_PAN,transformer,C4_coral,5,0.07349,0.00252,0.08874,0.00256,-0.05694,0.00347
